    T[sec] Fp2 Fp1  F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6
41 404.2 404.2 404.2 404.2 404.2 404.2 404.2 404.2 404.2 404.2 404.2 404.2 404.2 404.2 404.2 404.2
0 15 3.947 39.87 -2.171 19.93 -2.171 39.87 30 117.8 139.9 39.87 3.947 37.89 9.868 39.87 53.88
0.005 36.91 25.85 61.97 19.93 35.92 0.9868 45.99 13.82 117.8 123.9 61.97 19.93 53.88 11.84 47.96 45.99
0.01 56.84 47.96 73.81 39.87 51.91 0 47.96 0 103.8 90 67.89 33.95 57.83 13.82 49.93 30
0.015 62.96 60 67.89 51.91 60 11.84 45.99 -1.184 83.88 55.85 55.85 43.81 45.99 13.82 41.84 9.868
0.02 52.89 57.83 45.99 47.96 55.85 25.85 43.81 1.974 60 37.89 33.95 41.84 27.83 11.84 30 0
0.025 28.81 41.84 15.99 37.89 45 39.87 41.84 21.91 35.92 31.97 11.84 33.95 11.84 11.84 19.93 3.947
0.03 4.934 17.96 0.9868 23.88 31.97 55.85 43.81 45.99 15.99 27.83 1.974 21.91 9.868 15.99 17.96 11.84
0.035 -3.158 0 -3.158 12.83 24.87 60 42.83 60 2.96 11.84 9.868 7.894 17.96 15.99 23.88 13.82
0.04 -1.184 -5.131 1.974 6.908 24.87 53.88 34.93 55.85 -10.07 -15.2 30 -3.158 30 7.894 27.83 0
0.045 8.881 -5.131 21.91 3.947 25.85 37.89 13.82 27.83 -31.18 -63.16 47.96 -17.17 39.87 -3.158 23.88 -23.09
0.05 24.87 -2.171 39.87 0.9868 25.85 12.83 -8.092 -11.05 -54.08 -113.1 53.88 -27.04 35.92 -25.06 5.921 -53.09
0.055 28.81 7.894 39.87 -1.184 17.96 -8.092 -34.14 -55.06 -74.01 -150.2 35.92 -31.18 19.93 -43.02 -11.05 -71.05
0.06 16.97 9.868 17.96 -5.131 -3.158 -31.18 -53.09 -85.06 -93.15 -163 1.974 -27.04 -1.184 -47.17 -37.1 -65.13
0.065 -5.131 -1.184 -16.18 -16.18 -29.01 -44.01 -61.18 -91.18 -95.13 -152.2 -37.1 -17.17 -31.18 -35.13 -55.06 -36.12
0.07 -39.08 -22.1 -62.17 -33.16 -56.05 -48.16 -61.18 -77.17 -95.13 -114.1 -77.17 -7.105 -57.04 -17.17 -65.13 -2.171
0.075 -71.05 -61.18 -101 -51.12 -75.19 -49.14 -53.09 -47.17 -83.09 -61.18 -97.1 -1.184 -71.05 -2.171 -65.13 21.91
0.08 -85.06 -90.19 -110.1 -61.18 -81.12 -41.05 -46.18 -10.07 -56.05 1.974 -91.18 -1.184 -74.01 11.84 -54.08 45
0.085 -75.19 -94.14 -90.19 -62.17 -68.09 -39.08 -37.1 12.83 -20.13 55.85 -63.16 -1.184 -60.2 17.96 -36.12 54.87
0.09 -49.14 -65.13 -47.17 -49.14 -45.2 -35.13 -29.01 25.85 15.99 97.89 -21.12 0.9868 -33.16 13.82 -17.17 55.85
0.095 -11.05 -9.079 3.947 -27.04 -14.01 -32.17 -12.04 24.87 56.84 120 15 1.974 1.974 6.908 2.96 53.88
0.1 16.97 39.87 39.87 1.974 4.934 -35.13 0.9868 13.82 83.88 123 38.88 8.881 22.89 1.974 23.88 39.87
0.105 32.96 73.81 53.88 23.88 15.99 -33.16 23.88 0 97.89 109.9 39.87 15.99 35.92 -1.184 35.92 21.91
0.11 32.96 75.98 40.85 48.95 22.89 -20.13 47.96 0.9868 100.9 91.97 30 20.92 38.88 0.9868 45 7.894
0.115 22.89 56.84 20.92 62.96 24.87 3.947 66.91 12.83 91.97 72.83 10.85 15.99 31.97 0.9868 48.95 0.9868
0.12 12.83 30.99 6.908 65.92 27.83 36.91 70.85 31.97 79.93 51.91 3.947 10.85 22.89 9.868 47.96 -1.184
0.125 0.9868 16.97 8.881 50.92 24.87 65.92 50.92 45 51.91 20.92 6.908 0.9868 17.96 6.908 34.93 0
0.13 0.9868 13.82 22.89 26.84 16.97 68.88 7.894 38.88 16.97 -11.05 19.93 -16.18 10.85 1.974 16.97 -9.079
0.135 -5.131 11.84 30 -5.131 -3.158 41.84 -45.2 7.894 -19.14 -51.12 21.91 -39.08 0.9868 -25.06 -1.184 -31.18
0.14 -11.05 0 11.84 -43.02 -40.06 -5.131 -102 -37.1 -59.01 -90.19 10.85 -58.02 -18.16 -52.1 -27.04 -65.13
0.145 -23.09 -17.17 -21.12 -77.17 -84.08 -66.12 -144.1 -94.14 -92.17 -123.2 -14.01 -75.19 -44.01 -78.16 -52.1 -95.13
0.15 -31.18 -43.02 -69.08 -95.13 -121.2 -117 -161 -145.1 -115.1 -153.2 -47.17 -79.14 -67.1 -93.15 -69.08 -119
0.155 -25.06 -50.13 -96.12 -86.05 -130.1 -141.1 -143.1 -168.2 -130.1 -181.2 -61.18 -71.05 -70.06 -89.01 -72.04 -122.2
0.16 -7.105 -36.12 -90.19 -61.18 -109.1 -127.1 -104 -158.1 -140.1 -200.1 -53.09 -57.04 -56.05 -71.05 -64.14 -108.2
0.165 8.881 -7.105 -53.09 -21.12 -65.13 -87.04 -59.01 -119 -141.1 -201.1 -23.09 -39.08 -25.06 -41.05 -45.2 -75.19
0.17 20.92 15 -4.145 11.84 -16.18 -28.03 -19.14 -55.06 -127.1 -162 3.947 -27.04 3.947 -9.079 -25.06 -28.03
0.175 16.97 20.92 26.84 32.96 13.82 24.87 3.947 15.99 -93.15 -90.19 21.91 -17.17 21.91 15.99 -9.079 15
0.18 -1.184 7.894 33.95 35.92 25.85 67.89 3.947 77.96 -45.2 -2.171 23.88 -9.079 19.93 37.89 -3.158 51.91
0.185 -19.14 -3.158 19.93 28.81 15.99 88.81 0 113.9 10.85 90.98 13.82 -1.184 3.947 53.88 -5.131 81.91
0.19 -29.01 -9.079 0 20.92 0 86.84 -10.07 122 62.96 153 1.974 3.947 -9.079 60 -7.105 95.92
0.195 -27.04 -1.184 -11.05 15.99 -9.079 67.89 -15.2 99.87 97.89 173.9 0.9868 9.868 -19.14 53.88 0.9868 95.92
0.2 -19.14 1.974 -19.14 12.83 -10.07 35.92 -8.092 51.91 112.9 153.9 -3.158 5.921 -15.2 35.92 13.82 79.93
0.205 -19.14 0.9868 -19.14 2.96 -6.118 -2.171 0.9868 -3.158 105 108 -5.131 -3.158 -5.131 3.947 33.95 45.99
0.21 -29.01 -27.04 -25.06 -13.03 -9.079 -37.1 7.894 -67.1 85.85 49.93 -11.05 -29.01 -2.171 -33.16 45.99 0.9868
0.215 -45.2 -63.16 -31.18 -37.1 -16.18 -77.17 3.947 -119 61.97 -3.158 -19.14 -53.09 0 -75.19 43.81 -57.04
0.22 -55.06 -83.09 -41.05 -59.01 -31.18 -107.2 -1.184 -149 37.89 -45.2 -25.06 -69.08 -1.184 -105.2 30 -101
0.225 -51.12 -79.14 -39.08 -71.05 -41.05 -123.2 -13.03 -149 17.96 -67.1 -31.18 -67.1 -13.03 -115.1 5.921 -117
0.23 -39.08 -49.14 -33.16 -69.08 -43.02 -115.1 -23.09 -119 0 -69.08 -35.13 -51.12 -25.06 -97.1 -11.05 -99.08
