    T[sec] Fp2 Fp1  F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6
41 141.1 141.1 141.1 141.1 141.1 141.1 141.1 141.1 141.1 141.1 141.1 141.1 141.1 141.1 141.1 141.1
0 0.9643 -1.033 -13.02 -1.033 1.998 -13.02 -5.028 -9.023 5.993 -21.01 47.94 -2.066 9.988 -1.033 7.99 -7.026
0.005 -5.028 -7.026 -11.02 0.9643 7.99 -3.031 7.99 7.99 25.97 -5.028 43.95 -2.066 13.98 11.99 11.99 0
0.01 -5.028 -7.026 -3.031 1.998 19.98 5.993 21.97 27.97 39.95 9.988 41.95 -2.066 19.98 21.97 15.98 9.988
0.015 -1.033 -5.028 -2.066 5.993 25.97 17.98 27.97 35.96 39.95 25.97 37.95 -2.066 19.98 21.97 15.98 13.98
0.02 -1.033 -7.026 -1.033 0 21.97 21.97 19.98 33.96 29.96 29.96 29.96 0.9643 11.99 13.98 9.988 11.99
0.025 -9.023 -13.02 -13.02 -7.026 7.99 15.98 9.988 23.97 17.98 25.97 17.98 0.9643 1.998 3.995 1.998 5.993
0.03 -19.01 -17.01 -23.01 -11.02 -1.033 9.988 3.995 15.98 9.988 17.98 7.99 5.993 -3.031 1.998 0.9643 3.995
0.035 -21.01 -9.023 -23.01 -1.033 -5.028 9.988 11.99 13.98 7.99 11.99 5.993 21.97 -3.031 11.99 0.9643 9.988
0.04 -5.028 1.998 -11.02 13.98 -2.066 19.98 17.98 15.98 7.99 13.98 9.988 37.95 0.9643 27.97 1.998 21.97
0.045 14.95 17.98 -2.066 31.96 11.99 33.96 21.97 15.98 -2.066 17.98 15.98 45.94 3.995 37.95 5.993 31.96
0.05 32.99 25.97 5.993 35.96 17.98 41.95 10.95 11.99 -15.02 16.94 15.98 41.95 3.995 35.96 5.993 31.96
0.055 32.99 13.98 -2.066 23.97 13.98 37.95 -4.064 3.995 -33.06 8.955 9.988 27.97 0 19.98 -2.066 19.98
0.06 14.95 -3.031 -13.02 3.995 1.998 21.97 -21.01 0.9643 -41.05 0 0 9.988 -5.028 1.998 -9.023 3.995
0.065 -7.026 -22.04 -27 -7.026 -6.062 4.959 -20.04 -3.031 -33.06 1.998 -5.028 0 -15.02 -3.031 -19.01 -1.033
0.07 -23.01 -28.03 -31.07 -7.026 -14.05 1.998 -8.059 0.9643 -14.05 2.962 -7.026 0 -15.02 -1.033 -17.01 0
0.075 -19.01 -17.01 -23.01 0 -11.02 3.995 1.998 3.995 0.9643 9.988 -1.033 5.993 -11.02 7.99 -9.023 13.98
0.08 0.9643 -1.033 -9.023 15.98 -2.066 18.94 9.988 12.95 6.957 14.95 0 11.99 -3.031 21.97 0.9643 27.97
0.085 14.95 12.95 -2.066 19.98 2.962 31 3.995 12.95 2.962 11.99 2.962 11.99 -2.066 26.93 1.998 27.97
0.09 20.94 15.98 -2.066 15.98 3.995 27.97 -5.028 3.995 -1.033 1.998 0 5.993 -2.066 17.98 1.998 15.98
0.095 14.95 11.99 -3.031 5.993 5.993 11.99 -12.05 1.998 -2.066 1.998 1.998 0.9643 -2.066 2.962 -2.066 -1.033
0.1 6.957 1.998 -9.023 0.9643 0 -1.033 -8.059 -2.066 -1.033 1.998 -2.066 2.962 0 -4.064 -2.066 -6.062
0.105 2.962 0 -13.02 0.9643 -2.066 -9.023 1.998 -1.033 -2.066 0 -1.033 7.99 0 -7.026 0 -5.028
0.11 4.959 6.957 -12.05 0 0.9643 -2.066 14.95 2.962 1.998 2.962 -2.066 13.98 1.998 -3.031 2.962 0.9643
0.115 8.955 14.95 -12.05 3.995 0 3.995 12.95 6.957 -1.033 0.9643 1.998 13.98 -1.033 -2.066 0 8.955
0.12 10.95 22.94 -11.02 1.998 -4.064 9.988 1.998 0.9643 -13.02 -10.06 0.9643 5.993 -2.066 1.998 -3.031 4.959
0.125 4.959 20.94 -16.05 -1.033 -10.06 3.995 -16.05 -6.062 -19.01 -19.01 0.9643 0 -10.06 -5.028 -9.023 0
0.13 -1.033 14.95 -18.05 -7.026 -13.02 -4.064 -26.04 -16.05 -11.02 -18.05 -1.033 0.9643 -11.02 -7.026 -12.05 -10.06
0.135 0.9643 13.98 -17.01 -1.033 -9.023 -9.023 -21.01 -17.01 0 -5.028 -1.033 0 -5.028 -1.033 -7.026 -7.026
0.14 6.957 19.98 -11.02 7.99 0.9643 -1.033 1.998 -2.066 23.97 8.955 0.9643 12.95 1.998 6.957 0 4.959
0.145 12.95 27.97 -5.028 23.97 7.99 9.988 16.94 12.95 31 22.94 2.962 22.94 11.99 22.94 7.99 22.94
0.15 14.95 29.96 0.9643 29.96 11.99 21.97 21.97 23.97 19.98 25.97 1.998 21.97 11.99 29.96 5.993 31.96
0.155 12.95 29 -3.031 25.97 6.957 24.94 13.98 26.93 0.9643 21.97 0.9643 17.98 1.998 26.93 0 27.97
0.16 6.957 26.93 -7.026 15.98 1.998 18.94 0 20.94 -10.06 8.955 -2.066 11.99 -3.031 11.99 -3.031 13.98
0.165 12.95 25.97 -9.023 7.99 -7.026 9.988 -9.023 11.99 -13.02 1.998 -2.066 5.993 -11.02 0 -7.026 -2.066
0.17 26.93 32.99 -5.028 11.99 -4.064 8.955 0 7.99 -1.033 2.962 1.998 7.99 -7.026 0.9643 -3.031 -1.033
0.175 38.99 36.99 -2.066 23.97 2.962 10.95 10.95 11.99 22.94 6.957 7.99 5.993 0 0 3.995 0
0.18 40.98 37.95 7.99 31.96 17.98 13.98 27.97 11.99 37.95 9.988 13.98 1.998 15.98 7.99 15.98 3.995
0.185 29 31.96 9.988 27.97 23.97 9.988 36.99 5.993 43.95 14.95 15.98 0.9643 21.97 9.988 21.97 9.988
0.19 8.955 19.98 7.99 15.98 19.98 1.998 31 0.9643 31.96 12.95 15.98 -3.031 19.98 1.998 19.98 3.995
0.195 -1.033 11.99 -2.066 0 5.993 0.9643 9.988 -13.02 11.99 5.993 11.99 -7.026 9.988 -3.031 11.99 -1.033
0.2 -3.031 11.99 -3.031 -1.033 -1.033 -5.028 -7.026 -21.01 -1.033 -1.033 7.99 -9.023 0 -13.02 3.995 -13.02
0.205 0.9643 11.99 -5.028 0.9643 -7.026 -11.02 -23.01 -23.01 -13.02 -11.02 3.995 -13.02 -1.033 -23.01 -2.066 -23.01
0.21 10.95 9.988 -3.031 -2.066 -5.028 -21.01 -29.07 -25 -17.01 -17.01 0 -19.01 -1.033 -33.06 0.9643 -33.06
0.215 16.94 5.993 -1.033 0.9643 -3.031 -37.06 -27 -25 -13.02 -11.02 -2.066 -27 0.9643 -43.05 0.9643 -41.05
0.22 16.94 0 -1.033 -9.023 0.9643 -51.04 -21.01 -23.01 -3.031 -2.066 -2.066 -33.06 -2.066 -51.04 -2.066 -45.05
0.225 10.95 3.995 -1.033 -17.01 -2.066 -57.03 -11.02 -21.01 7.99 11.99 1.998 -29.07 0 -51.04 1.998 -43.05
0.23 8.955 17.98 -1.033 -13.02 1.998 -47.05 0.9643 -13.02 23.97 15.98 7.99 -15.02 3.995 -41.05 7.99 -33.06
0.235 6.957 33.96 -2.066 0.9643 9.988 -25 9.988 0.9643 33.96 5.993 13.98 -2.066 9.988 -23.01 11.99 -15.02
0.24 4.959 43.95 3.995 15.98 17.98 -3.031 19.98 7.99 31.96 -9.023 17.98 11.99 15.98 -3.031 17.98 -1.033
0.245 2.962 37.95 7.99 27.97 21.97 5.993 23.97 15.98 21.97 -25 17.98 15.98 17.98 1.998 17.98 0
0.25 -1.033 19.98 7.99 25.97 19.98 3.995 21.97 17.98 9.988 -23.01 13.98 9.988 17.98 -1.033 15.98 -1.033
0.255 -1.033 1.998 3.995 13.98 13.98 -5.028 19.98 11.99 3.995 -7.026 7.99 -2.066 11.99 -21.01 11.99 -19.01
0.26 4.959 0.9643 -2.066 0 9.988 -21.01 17.98 3.995 9.988 7.99 3.995 -3.031 7.99 -41.05 7.99 -33.06
0.265 14.95 3.995 -2.066 0.9643 9.988 -29.07 19.98 -2.066 21.97 19.98 3.995 -1.033 5.993 -51.04 7.99 -41.05
0.27 20.94 17.98 1.998 3.995 13.98 -25 19.98 0.9643 33.96 13.98 7.99 1.998 7.99 -43.05 11.99 -35.06
0.275 14.95 27.97 5.993 15.98 17.98 -15.02 17.98 -2.066 35.96 -2.066 11.99 9.988 11.99 -27 15.98 -21.01
0.28 -1.033 23.97 6.957 21.97 19.98 -5.028 14.95 3.995 31.96 -6.062 13.98 13.98 13.98 -8.059 17.98 -6.062
0.285 -15.02 9.988 2.962 17.98 15.98 -2.066 14.95 9.988 25.97 -2.066 9.988 9.988 11.99 1.998 13.98 -1.033
0.29 -23.01 -2.066 -2.066 5.993 13.98 0 17.98 17.98 23.97 9.988 5.993 3.995 5.993 -2.066 7.99 1.998
0.295 -15.02 0.9643 1.998 0 13.98 1.998 31 25.97 29.96 32.99 1.998 4.959 3.995 -1.033 5.993 6.957
0.3 0.9643 6.957 -1.033 5.993 18.94 3.995 46.98 31 35.96 42.98 0 12.95 7.99 0.9643 9.988 8.955
0.305 8.955 21.97 3.995 19.98 23.97 11.99 53.93 31.96 37.95 41.95 3.995 21.97 13.98 7.99 13.98 11.99
0.31 8.955 32.99 11.99 33.96 29 15.98 51.94 32.99 31.96 31.96 5.993 24.94 18.94 9.988 19.98 11.99
