    T[sec]  F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2
0.205 -3.029 -2.06 0.9692 -2.06 -20.05 -11.02 -7.027 -3.029 1.999 -25.02 -28.05 -19.02 -21.02 -3.029 -16.05 -12.05
0.21 -5.028 -4.059 1.999 -4.059 -30.05 -14.05 -13.02 -9.026 1.999 -34.04 -32.04 -23.02 -27.02 -5.028 -22.05 -16.05
0.215 -5.028 -3.029 0.9692 -7.027 -33.01 -17.02 -21.02 -11.02 -2.06 -39.01 -37.01 -29.02 -31.02 -7.027 -29.02 -19.02
0.22 -1.03 -2.06 0.9692 -12.05 -28.05 -20.05 -21.02 -13.02 0 -40.04 -34.04 -31.02 -31.02 -6.058 -30.05 -18.05
0.225 0.9692 -2.06 -1.03 -14.05 -22.05 -21.02 -21.02 -13.02 1.999 -36.04 -30.05 -27.02 -27.02 -7.027 -26.05 -16.05
0.23 -1.03 0 -3.029 -13.02 -13.02 -19.02 -17.02 -11.02 0.9692 -29.02 -19.02 -19.02 -21.02 -3.029 -15.02 -11.02
0.235 -1.03 0 1.999 -4.059 -4.059 -12.05 -7.027 -7.027 0 -20.05 -8.057 -3.029 -11.02 -1.03 -2.06 -4.059
0.24 0.9692 0 1.999 1.999 0 -4.059 -3.029 -1.03 1.999 -10.06 -1.03 1.999 -1.03 2.968 2.968 -1.03
0.245 0.9692 -2.06 3.998 0.9692 -2.06 0 -3.029 1.999 3.998 -3.029 1.999 7.996 1.999 5.997 1.999 3.998
0.25 2.968 5.997 9.995 -2.06 4.967 8.965 -1.03 5.997 9.995 2.968 8.965 9.995 10.96 8.965 4.967 8.965
0.255 4.967 10.96 9.995 -8.057 8.965 16.96 0 7.996 11.99 10.96 12.96 13.99 14.96 8.965 2.968 12.96
0.26 6.966 8.965 7.996 -13.02 11.99 17.99 0 5.997 7.996 15.99 17.99 13.99 15.99 5.997 7.996 13.99
0.265 6.966 7.996 3.998 -12.05 14.96 18.96 1.999 3.998 5.997 22.96 22.96 17.99 18.96 4.967 14.96 14.96
0.27 4.967 3.998 1.999 -7.027 14.96 14.96 0 1.999 5.997 26.96 22.96 20.96 16.96 6.966 18.96 12.96
0.275 2.968 -2.06 1.999 -5.028 9.995 7.996 0.9692 0 1.999 23.99 17.99 15.99 13.99 1.999 13.99 3.998
0.28 0.9692 0.9692 0 -3.029 6.966 2.968 -6.058 -2.06 -1.03 18.96 6.966 6.966 6.966 2.968 5.997 -1.03
0.285 2.968 -2.06 0.9692 -7.027 2.968 0 -13.02 -1.03 -1.03 12.96 1.999 1.999 -1.03 1.999 -1.03 -2.06
