    T[sec] Fp2 Fp1  F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6
41 281.1 281.1 281.1 281.1 281.1 281.1 281.1 281.1 281.1 281.1 281.1 281.1 281.1 281.1 281.1 281.1
0 14.96 5.903 -5.079 -11.12 -9.06 -13.04 -11.12 -11.12 -9.06 -1.098 -2.059 -9.06 1.922 -3.02 7.962 -5.079
0.005 18.94 3.981 0.9609 -13.04 -13.04 -17.02 -9.06 -15.1 -11.12 -7.001 11.94 -5.079 1.922 0.9609 3.981 -3.02
0.01 22.92 7.962 -2.059 -15.1 -13.04 -19.08 -3.02 -15.1 -9.06 -11.12 17.98 0.9609 3.981 -2.059 1.922 -3.02
0.015 26.91 15.92 0.9609 -11.12 -7.001 -15.1 0 -11.12 -1.098 -9.06 17.98 1.922 7.962 1.922 1.922 -3.02
0.02 28.96 21.96 -3.02 -7.001 0.9609 -7.001 9.884 -3.02 3.981 -1.098 9.884 3.981 11.94 3.981 3.981 -1.098
0.025 24.98 21.96 -5.079 -1.098 0 -2.059 19.9 0 13.86 3.981 0 3.981 13.86 3.981 5.903 0
0.03 18.94 15.92 -5.079 -2.059 0 5.903 19.9 3.981 17.98 13.86 -3.02 0 11.94 1.922 5.903 5.903
0.035 10.98 5.903 -8.099 -3.02 -5.079 3.981 11.94 3.981 15.92 15.92 -9.06 0 3.981 0.9609 1.922 10.98
0.04 2.883 -1.098 -16.06 -10.02 -17.02 -3.02 -2.059 -2.059 7.962 9.884 -11.12 -6.04 -1.098 -8.099 0.9609 6.864
0.045 -1.098 -3.02 -21 -21 -25.12 -17.02 -11.12 -3.02 0 0 -13.04 -11.12 -11.12 -17.02 -3.02 -2.059
0.05 2.883 0 -24.02 -24.02 -24.02 -25.12 -21 -6.04 -1.098 -2.059 -17.02 -8.099 -16.06 -18.12 -3.02 -6.04
0.055 -1.098 1.922 -22.1 -22.1 -20.04 -23.06 -23.06 -6.04 -2.059 -4.118 -17.02 -4.118 -14 -14 0.9609 -8.099
0.06 -1.098 -2.059 -21 -21 -13.04 -17.02 -19.08 -9.06 -5.079 -9.06 -23.06 -3.02 -11.12 -11.12 1.922 -9.06
0.065 0.9609 0 -19.08 -20.04 -12.08 -10.02 -12.08 -12.08 -6.04 -8.099 -23.06 -4.118 -4.118 -10.02 9.884 -3.02
0.07 -7.001 -8.099 -21 -25.12 -18.12 -14 -12.08 -20.04 -6.04 -14 -24.02 -11.12 0 -15.1 10.98 1.922
0.075 -15.1 -17.02 -25.12 -35 -23.06 -23.06 -13.04 -27.04 -5.079 -17.02 -25.12 -17.02 -3.02 -19.08 5.903 -2.059
0.08 -15.1 -15.1 -24.02 -35 -25.12 -30.06 -14 -25.12 1.922 -16.06 -18.12 -21 -1.098 -19.08 1.922 -1.098
0.085 -7.001 -15.1 -17.02 -26.08 -21 -34.04 -12.08 -21 4.942 -7.001 -14 -18.12 -7.001 -14 -6.04 -1.098
0.09 0.9609 -3.02 -3.02 -15.1 -13.04 -29.1 -5.079 -11.12 9.884 0 -7.001 -7.001 -7.001 -5.079 -15.1 0
0.095 14.96 7.962 7.962 1.922 -4.118 -11.12 1.922 -1.098 11.94 14.96 1.922 0 -2.059 0 -14 4.942
0.1 26.91 20.87 23.89 16.88 3.981 1.922 9.884 7.962 12.9 20.87 5.903 16.88 -2.059 8.923 -5.079 9.884
0.105 30.89 29.93 29.93 27.87 9.884 13.86 15.92 13.86 7.962 17.98 11.94 25.94 5.903 11.94 0.9609 9.884
0.11 32.95 33.91 35.97 32.95 17.98 21.96 15.92 17.98 5.903 6.864 16.88 28.96 12.9 14.96 7.962 6.864
0.115 26.91 26.91 34.87 28.96 16.88 21.96 10.98 13.86 2.883 -1.098 16.88 24.98 12.9 9.884 10.98 1.922
0.12 18.94 16.88 29.93 21.96 14.96 17.98 2.883 4.942 3.981 -12.08 7.962 14.96 6.864 6.864 8.923 -10.02
0.125 4.942 4.942 18.94 8.923 8.923 5.903 -2.059 1.922 0.9609 -13.04 0.9609 6.864 -1.098 -2.059 2.883 -15.1
0.13 -1.098 0.9609 7.962 2.883 5.903 1.922 -3.02 -1.098 3.981 -6.04 -2.059 2.883 -4.118 1.922 1.922 -18.12
0.135 -9.06 -3.02 0 3.981 1.922 0 0.9609 0.9609 5.903 0.9609 -7.001 3.981 -7.001 0.9609 -3.02 -11.12
0.14 -9.06 0 3.981 14.96 5.903 3.981 5.903 5.903 10.98 4.942 -7.001 8.923 -5.079 6.864 -1.098 -3.02
0.145 -7.001 1.922 3.981 19.9 8.923 5.903 13.86 12.9 9.884 4.942 -8.099 7.962 -2.059 13.86 0 -1.098
0.15 -11.12 0.9609 5.903 15.92 9.884 0.9609 13.86 11.94 0 0.9609 -13.04 1.922 -1.098 15.92 0.9609 0.9609
0.155 -17.02 -5.079 1.922 4.942 5.903 -14 6.864 7.962 -6.04 -5.079 -20.04 -2.059 -5.079 8.923 0 -6.04
0.16 -23.06 -11.12 1.922 -3.02 0 -30.06 -1.098 0 -16.06 -10.02 -24.02 -13.04 -7.001 0 -4.118 -12.08
0.165 -27.04 -13.04 -1.098 -9.06 0.9609 -41.04 -1.098 -2.059 -19.08 -3.02 -25.12 -13.04 -13.04 -1.098 -5.079 -11.12
0.17 -19.08 -6.04 -2.059 -3.02 0.9609 -38.02 -1.098 2.883 -8.099 8.923 -20.04 -3.02 -12.08 1.922 0 -1.098
0.175 -7.001 0.9609 5.903 4.942 10.98 -28 12.9 14.96 6.864 24.98 -13.04 0.9609 -6.04 4.942 -2.059 3.981
0.18 0.9609 9.884 11.94 13.86 15.92 -19.08 21.96 21.96 25.94 27.87 -7.001 7.962 -1.098 15.92 1.922 7.962
0.185 -1.098 14.96 14.96 18.94 16.88 -15.1 23.89 20.87 32.95 22.92 -1.098 8.923 -1.098 20.87 1.922 4.942
0.19 -1.098 14.96 14.96 16.88 14.96 -17.02 19.9 12.9 27.87 8.923 -2.059 10.98 -1.098 20.87 0 0.9609
0.195 2.883 13.86 15.92 15.92 11.94 -19.08 9.884 3.981 15.92 -1.098 1.922 11.94 -2.059 21.96 0 0.9609
0.2 10.98 20.87 22.92 22.92 11.94 -15.1 3.981 1.922 1.922 -7.001 5.903 20.87 0 26.91 1.922 -1.098
0.205 22.92 25.94 32.95 29.93 15.92 -5.079 3.981 3.981 -1.098 -11.12 7.962 26.91 0 27.87 3.981 4.942
