    T[sec] Fp2 Fp1  F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6
41 232.1 232.1 232.1 232.1 232.1 232.1 232.1 232.1 232.1 232.1 232.1 232.1 232.1 232.1 232.1 232.1
0 24.93 -21.08 33.89 -31.05 53.95 57.91 -35.02 -7.027 1.927 -3.06 49.98 17.91 -23.01 25.95 15.98 -45.11
0.005 18.93 -23.01 25.95 -37.06 51.91 50.89 -37.06 -7.027 3.967 0 50.89 9.974 -25.05 21.99 19.95 -39.1
0.01 14.96 -33.09 17.91 -41.03 46.92 40.91 -41.03 -3.06 10.99 13.94 48.96 6.914 -29.01 23.91 23.91 -31.05
0.015 10.99 -41.03 15.98 -41.03 43.97 37.97 -43.07 0.9067 17.91 25.95 47.94 5.894 -33.09 27.99 27.99 -27.09
0.02 16.89 -40.01 23.91 -31.05 46.92 52.93 -40.01 2.947 26.97 30.94 52.93 12.92 -31.05 31.96 34.91 -29.01
0.025 26.97 -34 36.95 -15.07 58.94 79.9 -34 8.954 32.98 18.93 55.99 20.97 -21.08 35.93 34.91 -35.02
0.03 34.91 -29.01 45.9 -3.06 69.93 112 -27.09 9.974 29.92 1.927 51.91 23.91 -9.067 41.93 31.96 -43.07
0.035 36.95 -18.02 50.89 1.927 83.98 140 -20.06 16.89 25.95 -2.04 43.97 23.91 0 46.92 26.97 -47.03
0.04 38.99 -10.09 52.93 7.934 87.95 157 -10.09 22.89 19.95 0.9067 32.98 17.91 0.9067 52.93 22.89 -49.07
0.045 34.91 -7.027 49.98 7.934 85.91 158 -5.1 25.95 9.974 3.967 15.98 7.934 0.9067 53.95 17.91 -53.04
0.05 28.9 -13.03 46.92 3.967 72.99 149.9 1.927 27.99 8.954 15.98 9.974 -1.02 -4.08 48.96 15.98 -58.03
0.055 28.9 -23.01 47.94 -2.04 62 136.9 0.9067 17.91 6.914 20.97 10.99 1.927 -8.047 38.99 9.974 -66.08
0.06 30.94 -27.09 51.91 0 53.95 128 0 9.974 7.934 15.98 17.91 0 -3.06 29.92 7.934 -73.1
0.065 36.95 -26.07 55.99 7.934 54.97 125.9 0.9067 2.947 13.94 8.954 27.99 8.954 3.967 20.97 8.954 -74.01
