    T[sec]  O1  O2  P3  P4  C3  C4  F3  F4 Fp2 Fp1  T5  T6  T3  T4  F7  F8
41 164.1 164.1 164.1 164.1 164.1 164.1 164.1 164.1 164.1 164.1 164.1 164.1 164.1 164.1 164.1 164.1
0 16.98 43.98 6.97 15.94 -4.006 5.929 -13.06 -1.042 -11.06 -9.053 1.923 20.99 5.929 5.929 9.935 -47.03
0.005 8.973 29.96 7.932 7.932 0.9614 -2.003 -3.044 -1.042 0.9614 -5.047 -1.042 9.935 9.935 3.926 21.95 -57.04
0.01 -5.047 17.95 5.929 1.923 3.926 -1.042 0 -5.047 13.94 -5.047 -3.044 7.932 3.926 3.926 25.96 -55.04
0.015 -7.05 22.99 5.929 7.932 5.929 0 5.929 0.9614 23.96 -7.05 -1.042 11.94 3.926 3.926 27.96 -51.03
0.02 -1.042 28.92 7.932 17.95 6.97 -1.042 9.935 0.9614 29.96 -5.047 -3.044 20.99 3.926 5.929 35.97 -49.03
0.025 -1.042 35.97 12.98 23.96 12.98 7.932 18.99 6.97 33.97 -2.003 3.926 14.98 10.98 13.94 41.98 -41.02
0.03 6.97 27.96 17.95 21.95 21.95 15.94 29.96 15.94 37.98 1.923 9.935 0 15.94 11.94 45.99 -41.02
0.035 6.97 8.973 17.95 15.94 28.92 16.98 37.98 18.99 41.98 9.935 0 -2.003 11.94 3.926 49.99 -45.03
0.04 -1.042 0 22.99 11.94 32.93 12.98 44.95 13.94 45.99 11.94 0.9614 0 6.97 0 45.99 -43.02
0.045 -1.042 2.964 23.96 14.98 36.93 5.929 41.98 6.97 40.94 0.9614 -7.05 0.9614 3.926 -1.042 39.98 -46.07
0.05 -1.042 6.97 21.95 25 29.96 3.926 33.97 4.967 37.98 4.967 -9.053 15.94 -1.042 3.926 31.97 -47.03
0.055 14.98 19.95 25.96 44.95 27 18.99 33.97 15.94 38.94 18.99 1.923 25 3.926 18.99 25.96 -34.05
0.06 22.99 25 27 52 31.97 37.98 31.97 35.97 36.93 25.96 9.935 25 3.926 33.97 29.96 -23.07
0.065 20.99 22.99 21.95 58.97 27.96 55.92 36.93 47.99 36.93 25.96 7.932 21.95 2.964 40.94 33.97 -12.02
0.07 20.99 25 25 59.93 28.92 56.96 40.94 54 39.98 27 5.929 17.95 10.98 42.94 33.97 -6.009
0.075 4.967 12.98 11.94 42.94 25 45.99 35.97 48.95 40.94 16.98 0.9614 8.973 5.929 34.93 35.97 -10.01
