    T[sec] Fp2 Fp1  F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6
41 232.1 232.1 232.1 232.1 232.1 232.1 232.1 232.1 232.1 232.1 232.1 232.1 232.1 232.1 232.1 232.1
0 6.914 3.967 1.927 0 -3.06 -9.067 -53.04 -29.01 -61.09 -65.06 17.91 0.9067 -13.03 -5.1 -2.04 -31.05
0.005 12.92 9.974 9.974 3.967 0 -3.06 -43.07 -31.05 -41.03 -71.06 21.99 0 -7.027 -3.06 9.974 -35.02
0.01 14.96 7.934 9.974 1.927 3.967 -3.06 -23.01 -31.05 -15.07 -81.04 21.99 -2.04 1.927 -7.027 17.91 -39.1
0.015 6.914 0 3.967 0.9067 1.927 -5.1 0.9067 -31.05 5.894 -91.01 15.98 -3.06 9.974 -15.07 15.98 -49.07
0.02 -1.02 -5.1 -1.02 -9.067 -2.04 -11.11 15.98 -29.01 29.92 -93.05 1.927 -11.11 9.974 -25.05 7.934 -57.01
0.025 -9.067 -15.07 -7.027 -12.01 -2.04 -11.11 33.89 -19.04 47.94 -75.03 -7.027 -13.03 1.927 -27.09 1.927 -53.04
0.03 -9.067 -15.07 -5.1 -13.03 5.894 -7.027 45.9 -2.04 59.96 -35.02 -13.03 -7.027 0.9067 -17 0 -31.05
0.035 -1.02 -9.067 -2.04 -6.007 21.99 0 51.91 25.95 63.92 11.9 -11.11 0.9067 -2.04 0 -2.04 1.927
0.04 0.9067 -2.04 3.967 0 37.97 13.94 51.91 51.91 55.99 62 -7.027 3.967 4.987 23.91 -1.02 39.89
0.045 -1.02 1.927 1.927 0.9067 43.97 23.91 39.89 63.92 37.97 91.92 -5.1 1.927 1.927 35.93 -11.11 62
0.05 -7.027 0 1.927 0 32.98 23.91 19.95 59.96 16.89 96 -9.067 0.9067 0 30.94 -19.04 62
0.055 -19.04 0.9067 -6.007 -3.06 8.954 17.91 -1.02 45.9 -1.02 88.97 -13.03 -5.1 -14.05 14.96 -12.01 48.96
0.06 -21.08 -1.02 -7.027 -5.1 -9.067 9.974 -13.03 31.96 -1.02 77.98 -11.11 -3.06 -23.01 1.927 -2.04 29.92
0.065 -9.067 1.927 -1.02 0 -18.02 11.9 -16.09 30.94 0.9067 74.92 0.9067 0 -18.02 0.9067 16.89 22.89
0.07 4.987 13.94 18.93 14.96 -12.01 19.95 -6.007 40.91 6.914 70.95 11.9 9.974 -6.007 8.954 26.97 24.93
0.075 20.97 23.91 27.99 23.91 0 31.96 -2.04 49.98 1.927 51.91 23.91 13.94 0 17.91 21.99 23.91
0.08 24.93 23.91 30.94 25.95 15.98 35.93 0.9067 44.99 -8.047 16.89 25.95 9.974 5.894 18.93 4.987 18.93
0.085 18.93 9.974 21.99 15.98 19.95 24.93 -2.04 18.93 -31.05 -24.03 19.95 -1.02 3.967 7.934 -6.007 2.947
0.09 8.954 -3.06 3.967 0 13.94 0 -15.07 -15.07 -49.07 -65.06 11.9 -11.11 3.967 -9.067 -15.07 -13.03
0.095 0.9067 -17 0 -8.047 -1.02 -20.06 -29.01 -51 -46.01 -83.08 8.954 -20.06 3.967 -22.1 -15.07 -27.09
0.1 0.9067 -25.05 -8.047 -16.09 -13.03 -42.05 -32.07 -75.03 -30.03 -70.04 6.914 -24.03 0.9067 -28.11 -4.08 -28.11
0.105 -3.06 -23.01 -9.067 -15.07 -25.05 -49.07 -29.01 -73.1 -5.1 -39.1 5.894 -19.04 -2.04 -21.08 -2.04 -19.04
