    T[sec]  O1  O2  P3  P4  C3  C4  F3  F4 Fp2 Fp1  T5  T6  T3  T4  F7  F8
0.205 8.953 -19.07 30.94 25.99 42 30.94 33.99 32.97 16.96 19 26.93 24.97 32.97 14.99 32.97 8.953
0.21 26.93 -7.061 39.96 33.99 49.93 42 38 43.96 17.98 21.98 33.99 31.95 33.99 23.95 31.95 17.98
0.215 40.98 5.969 42.95 35.96 45.93 44.98 38 43.96 12.96 12.96 32.97 38.94 30.94 26.93 22.93 16.96
0.22 50.95 21.98 38.94 31.95 33.99 33.99 27.95 33.99 2.984 1.965 27.95 36.98 20.96 23.95 12.96 7.934
0.225 58.96 38 29.99 25.99 19.94 19.94 13.98 15.94 -5.022 -15.07 21.98 31.95 9.972 15.94 0 -1.019
0.23 56.99 49.93 17.98 19.94 7.934 5.969 0 -2.038 -19.07 -31.01 13.98 23.95 0 7.934 -5.022 -15.07
0.235 50.95 57.94 7.934 13.98 -2.038 -1.019 -7.061 -11.06 -29.04 -45.06 7.934 15.94 -3.057 -2.038 -11.06 -27
0.24 38.94 59.98 -2.038 7.934 -7.061 -11.06 -17.03 -21.04 -41.05 -53.06 0 9.972 -11.06 -5.022 -17.03 -33.05
0.245 28.97 59.98 -5.022 1.965 -15.07 -19.07 -27 -27 -49.06 -57.07 -1.019 5.969 -17.03 -11.06 -23 -35.01
0.25 22.93 55.98 -7.061 0.9463 -22.06 -25.04 -35.01 -31.01 -55.03 -59.03 -5.022 1.965 -21.04 -15.07 -27 -37.05
0.255 19 47.97 -8.007 -3.057 -26.06 -30.06 -41.05 -37.05 -59.03 -61.07 -7.061 -1.019 -23 -19.07 -31.01 -39.02
0.26 14.99 33.99 -7.061 -5.022 -29.04 -33.05 -45.06 -41.05 -57.07 -59.03 -3.057 -11.06 -21.04 -25.04 -33.05 -43.02
0.265 10.99 20.96 -2.038 -6.042 -24.02 -30.06 -42.07 -42.07 -53.06 -55.03 -2.038 -20.02 -14.05 -28.02 -28.02 -46
0.27 4.95 6.988 1.965 -8.007 -16.01 -26.06 -36.03 -40.03 -42.07 -46 2.984 -24.02 -8.007 -28.02 -22.06 -46
0.275 0.9463 -2.038 0.9463 -7.061 -7.061 -21.04 -29.04 -33.05 -37.05 -39.02 1.965 -27 -3.057 -31.01 -17.03 -47.02
0.28 -1.019 -6.042 0.9463 -10.04 -5.022 -15.07 -24.02 -23 -28.02 -34.07 1.965 -26.06 -2.038 -30.06 -12.01 -44.04
0.285 -9.026 -14.05 -9.026 -13.03 -6.042 -15.07 -21.04 -17.03 -26.06 -30.06 -8.007 -24.02 -4.003 -26.06 -10.04 -40.03
0.29 -19.07 -25.04 -15.07 -19.07 -11.06 -17.03 -23 -17.03 -25.04 -31.01 -19.07 -21.04 -11.06 -23 -13.03 -37.05
0.295 -27 -31.01 -20.02 -21.04 -13.03 -16.01 -27 -16.01 -28.02 -29.04 -24.02 -17.03 -13.03 -17.03 -13.03 -27
0.3 -35.01 -39.02 -21.04 -16.01 -17.03 -13.03 -28.02 -16.01 -29.04 -29.04 -25.04 -13.03 -19.07 -13.03 -19.07 -23
0.305 -35.01 -35.01 -21.04 -11.06 -13.03 -13.03 -27 -17.03 -31.01 -29.04 -21.04 -7.061 -17.03 -13.03 -19.07 -21.04
0.31 -21.04 -22.06 -10.04 -1.019 -5.022 -8.007 -21.04 -13.03 -29.04 -25.04 -11.06 0 -8.007 -10.04 -14.05 -20.02
0.315 -5.022 -4.003 0.9463 4.95 1.965 -3.057 -18.05 -10.04 -24.02 -22.06 1.965 1.965 -1.019 -9.026 -14.05 -22.06
0.32 6.988 3.931 3.931 9.972 -2.038 -1.019 -15.07 -9.026 -23 -23 3.931 -2.038 -2.038 -13.03 -13.03 -25.04
0.325 16.96 14.99 8.953 10.99 -2.038 0.9463 -14.05 -8.007 -19.07 -21.04 9.972 0.9463 0.9463 -10.04 -10.04 -24.02
0.33 20.96 15.94 7.934 9.972 -1.019 0.9463 -13.03 -11.06 -21.04 -18.05 7.934 2.984 -2.038 -7.061 -9.026 -23
0.335 14.99 9.972 0 3.931 0.9463 -1.019 -15.07 -11.06 -19.07 -19.07 5.969 0 -1.019 -3.057 -13.03 -21.04
0.34 10.99 4.95 0.9463 -2.038 -1.019 -4.003 -13.03 -10.04 -16.01 -16.01 1.965 0 -3.057 1.965 -12.01 -17.03
0.345 6.988 2.984 -5.022 1.965 -5.022 -8.007 -14.05 -11.06 -18.05 -14.05 -2.038 1.965 -10.04 -2.038 -12.01 -14.05
0.35 6.988 5.969 -11.06 -1.019 -11.06 -11.06 -17.03 -13.03 -23 -15.07 -3.057 3.931 -15.07 0 -19.07 -11.06
0.355 4.95 11.94 -12.01 -1.019 -18.05 -13.03 -20.02 -13.03 -23 -11.06 -4.003 7.934 -17.03 0.9463 -24.02 -13.03
0.36 4.95 17.98 -15.07 0 -24.02 -11.06 -26.06 -15.07 -29.04 -13.03 -6.042 9.972 -21.04 0 -28.02 -12.01
0.365 4.95 21.98 -14.05 -1.019 -23 -10.04 -28.02 -14.05 -27 -17.03 -3.057 8.953 -17.03 -1.019 -30.06 -14.05
0.37 2.984 21.98 -11.06 1.965 -20.02 -11.06 -26.06 -15.07 -29.04 -19.07 -2.038 3.931 -19.07 0.9463 -26.06 -18.05
0.375 2.984 11.94 -8.007 -3.057 -20.02 -15.07 -24.02 -13.03 -27 -23 -2.038 0.9463 -17.03 -4.003 -26.06 -25.04
0.38 -9.026 -1.019 -13.03 -13.03 -21.04 -21.04 -23 -19.07 -29.04 -29.04 -11.06 -11.06 -21.04 -17.03 -27 -31.01
0.385 -17.03 -20.02 -17.03 -20.02 -23 -26.06 -24.02 -21.04 -28.02 -30.06 -15.07 -19.07 -22.06 -23 -26.06 -32.03
0.39 -27 -34.07 -19.07 -27 -27 -28.02 -25.04 -22.06 -26.06 -30.06 -15.07 -21.04 -23 -24.02 -24.02 -33.05
0.395 -27 -35.01 -15.07 -25.04 -23 -25.04 -23 -21.04 -25.04 -27 -9.026 -17.03 -19.07 -25.04 -19.07 -31.01
0.4 -11.06 -25.04 -5.022 -13.03 -15.07 -17.03 -17.03 -17.03 -21.04 -20.02 0.9463 -12.01 -11.06 -17.03 -9.026 -23
0.405 2.984 -6.042 4.95 -2.038 -3.057 -7.061 -10.04 -10.04 -15.07 -19.07 5.969 -4.003 0 -8.007 -4.003 -18.05
0.41 19 5.969 13.98 0 0 -2.038 -5.022 -7.061 -13.03 -15.07 9.972 -2.038 0 -1.019 0.9463 -17.03
0.415 24.97 14.99 17.98 4.95 6.988 3.931 -2.038 -4.003 -12.01 -12.01 6.988 0.9463 1.965 0.9463 1.965 -16.01
0.42 19 16.96 8.953 1.965 3.931 0.9463 -1.019 -5.022 -13.03 -13.03 -2.038 0.9463 -1.019 0 0 -14.05
0.425 6.988 9.972 -2.038 -2.038 1.965 -2.038 -5.022 -5.022 -11.06 -13.03 -3.057 -2.038 -1.019 -5.022 -3.057 -15.07
0.43 -1.019 5.969 -3.057 1.965 0 0.9463 -2.038 -4.003 -5.022 -9.026 -5.022 1.965 -3.057 -5.022 -3.057 -13.03
0.435 -7.061 3.931 -10.04 -3.057 0 -2.038 0.9463 -4.003 -2.038 -9.026 -6.042 0.9463 -1.019 -5.022 0.9463 -11.06
0.44 -15.07 0.9463 -15.07 -5.022 0.9463 -5.022 -2.038 -5.022 -3.057 -13.03 -9.026 -5.022 -3.057 -7.061 0.9463 -11.06
0.445 -13.03 -2.038 -17.03 -5.022 0 -7.061 0 -3.057 -8.007 -20.02 -8.007 -8.007 -6.042 -4.003 -2.038 -12.01
0.45 -11.06 -4.003 -13.03 -8.007 -5.022 -9.026 -4.003 -9.026 -16.01 -28.02 -8.007 -10.04 -10.04 -6.042 -10.04 -16.01
0.455 -13.03 -7.061 -15.07 -11.06 -11.06 -15.07 -19.07 -21.04 -29.04 -39.02 -11.06 -13.03 -15.07 -11.06 -21.04 -23
0.46 -7.061 -4.003 -14.05 -10.04 -20.02 -20.02 -28.02 -30.06 -40.03 -46 -12.01 -12.01 -20.02 -14.05 -32.03 -28.02
0.465 -5.022 -4.003 -14.05 -10.04 -24.02 -26.06 -34.07 -38.07 -39.02 -47.02 -13.03 -8.007 -22.06 -16.01 -36.03 -32.03
0.47 -5.022 0.9463 -13.03 -9.026 -25.04 -27 -29.04 -37.05 -33.05 -41.05 -11.06 -3.057 -19.07 -17.03 -33.05 -33.05
0.475 -5.022 1.965 -10.04 -9.026 -18.05 -24.02 -21.04 -31.01 -19.07 -29.04 -9.026 -1.019 -13.03 -17.03 -23 -31.01
0.48 -3.057 5.969 -11.06 -7.061 -10.04 -21.04 -9.026 -19.07 -5.022 -19.07 -7.061 -1.019 -7.061 -15.07 -13.03 -27
0.485 -3.057 5.969 -9.026 -5.022 -3.057 -15.07 -1.019 -9.026 0.9463 -11.06 -5.022 -3.057 -3.057 -15.07 -3.057 -23
0.49 -5.022 3.931 -7.061 -3.057 0.9463 -9.026 0.9463 -3.057 0.9463 -9.026 -7.061 -7.061 -1.019 -13.03 -1.019 -19.07
0.495 -7.061 -2.038 -5.022 0.9463 0.9463 -5.022 -1.019 -1.019 -5.022 -11.06 -11.06 -9.026 -5.022 -9.026 -7.061 -17.03
0.5 -5.022 -1.019 -1.019 0 0.9463 -1.019 -5.022 -1.019 -9.026 -11.06 -11.06 -9.026 -7.061 -5.022 -11.06 -13.03
0.505 -1.019 -1.019 -2.038 3.931 -2.038 0 -7.061 -2.038 -11.06 -7.061 -7.061 -3.057 -3.057 -2.038 -13.03 -7.061
0.51 2.984 0.9463 4.95 5.969 1.965 5.969 -3.057 1.965 -6.042 -2.038 -1.019 -1.019 -1.019 3.931 -6.042 0
0.515 8.953 0 10.99 7.934 9.972 9.972 -2.038 5.969 -2.038 -2.038 8.953 0.9463 6.988 8.953 1.965 1.965
0.52 8.953 3.931 5.969 -2.038 7.934 7.934 0 3.931 -3.057 -5.022 9.972 -2.038 9.972 5.969 1.965 0.9463
0.525 0.9463 -2.038 1.965 -6.042 1.965 1.965 0.9463 1.965 -10.04 -14.05 2.984 -1.019 4.95 1.965 0.9463 -2.038
0.53 -7.061 -3.057 -9.026 -14.05 -2.038 -8.007 -6.042 -8.007 -18.05 -21.04 -2.038 -5.022 0 -8.007 0 -6.042
0.535 -17.03 -7.061 -19.07 -19.07 -13.03 -19.07 -17.03 -17.03 -27 -29.04 -13.03 -11.06 -11.06 -17.03 -11.06 -13.03
0.54 -15.07 -6.042 -21.04 -14.05 -18.05 -20.02 -24.02 -20.02 -31.01 -33.05 -15.07 -6.042 -17.03 -17.03 -19.07 -11.06
0.545 -3.057 1.965 -10.04 -2.038 -12.01 -12.01 -26.06 -20.02 -35.01 -32.03 -13.03 1.965 -15.07 -9.026 -21.04 -11.06
0.55 4.95 5.969 -2.038 5.969 -5.022 0.9463 -23 -15.07 -35.01 -31.01 -5.022 5.969 -7.061 -1.019 -19.07 -5.022
0.555 16.96 19 13.98 19.94 -1.019 7.934 -16.01 -7.061 -36.03 -27 2.984 11.94 0 2.984 -14.05 -1.019
0.56 24.97 22.93 16.96 25.99 3.931 11.94 -12.01 -5.022 -35.01 -22.06 8.953 14.99 0.9463 8.953 -13.03 2.984
0.565 20.96 25.99 15.94 23.95 1.965 13.98 -11.06 -5.022 -37.05 -21.04 7.934 11.94 -1.019 3.931 -17.03 3.931
0.57 19 25.99 12.96 20.96 -2.038 12.96 -13.03 -6.042 -36.03 -22.06 8.953 8.953 -1.019 -2.038 -17.03 2.984
0.575 16.96 21.98 3.931 10.99 -4.003 3.931 -19.07 -13.03 -39.02 -27 5.969 0.9463 -4.003 -8.007 -20.02 1.965
0.58 16.96 15.94 -3.057 1.965 -15.07 -5.022 -23 -27 -41.05 -41.05 -2.038 -1.019 -7.061 -21.04 -23 -9.026
0.585 12.96 10.99 -5.022 -4.003 -21.04 -20.02 -25.04 -37.05 -40.03 -47.02 1.965 -6.042 -11.06 -25.04 -21.04 -14.05
