    T[sec] Fp2 Fp1  F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6
41 108.1 108.1 108.1 108.1 108.1 108.1 108.1 108.1 108.1 108.1 108.1 108.1 108.1 108.1 108.1 108.1
0 0.9497 -11.03 9.972 7.967 33.98 0.9497 7.967 -13.03 3.957 -13.03 7.967 0.9497 7.967 -7.017 -5.012 -15.04
0.005 -1.002 -9.022 9.972 5.962 33.98 -5.012 5.962 -15.04 0 -9.022 3.957 -5.012 1.952 -13.03 -7.017 -15.04
0.01 2.955 -5.012 9.972 5.962 33.98 -5.012 7.967 -11.03 0 -1.002 5.962 -9.022 0 -15.04 -3.007 -11.03
0.015 6.964 -1.002 9.972 5.962 33.98 -1.002 11.98 -3.007 5.962 3.957 9.972 -9.022 3.957 -11.03 1.952 -3.007
0.02 8.969 0.9497 5.962 7.967 29.97 0 15.99 0 9.972 9.972 9.972 -7.017 5.962 -3.007 9.972 1.952
0.025 4.959 -1.002 0 7.967 20 7.967 13.98 5.962 7.967 11.98 1.952 -1.002 3.957 -2.005 9.972 5.962
0.03 0.9497 -3.007 -3.007 7.967 7.967 11.98 5.962 5.962 0 7.967 -3.007 -2.005 -1.002 0 1.952 3.957
0.035 0.9497 -3.007 -9.022 9.972 -1.002 11.98 -1.002 1.952 -5.012 1.952 -9.022 1.952 -11.03 -2.005 -5.012 0.9497
0.04 0.9497 0.9497 -9.022 13.98 -5.012 9.972 -11.03 -2.005 -13.03 0.9497 -9.022 3.957 -17.04 -1.002 -11.03 -7.017
0.045 0.9497 1.952 -5.012 15.99 -1.002 9.972 -13.03 -2.005 -13.03 -1.002 -1.002 3.957 -17.04 -3.007 -9.022 -9.022
0.05 2.955 3.957 -1.002 15.99 5.962 9.972 -5.012 3.957 -5.012 -2.005 3.957 1.952 -9.022 0.9497 -1.002 -1.002
0.055 0.9497 -2.005 -1.002 9.972 15.99 13.98 1.952 11.98 0 1.952 9.972 0.9497 -1.002 0 1.952 3.957
0.06 -1.002 -9.022 -5.012 -2.005 17.99 13.98 9.972 15.99 5.962 5.962 3.957 -7.017 1.952 1.952 5.962 9.972
