    T[sec]  F7  F3  F4  F8  T3  C3  Cz  C4  T4  T5  P3  Pz  P4  T6  O1  O2
41 337.2 337.2 337.2 337.2 337.2 337.2 337.2 337.2 337.2 337.2 337.2 337.2 337.2 337.2 337.2 337.2
0 -19.1 17.94 25.85 5.927 -27.16 -17.12 13.99 0 -35.07 -21.07 -19.1 -15.15 -51.04 -35.07 -33.09 -41.16
0.005 -1.152 51.86 39.84 3.951 0 19.92 49.88 29.96 -19.1 -5.104 0.9878 0.9878 -29.14 -29.14 -19.1 -35.07
0.01 22.88 69.97 35.89 0.9878 25.85 49.88 63.88 39.84 -5.104 1.976 9.878 7.902 -7.079 -17.12 0.9878 -19.1
0.015 38.85 63.88 19.92 -3.128 39.84 57.95 51.86 31.94 1.976 9.878 19.92 15.97 7.902 0.9878 17.94 -2.14
0.02 38.85 41.98 -2.14 -3.128 31.94 43.96 25.85 11.85 7.902 11.85 21.9 19.92 21.9 9.878 31.94 17.94
0.025 22.88 9.878 -13.01 -3.128 13.99 15.97 0.9878 -3.128 11.85 7.902 19.92 21.9 25.85 19.92 37.87 31.94
0.03 -1.152 -11.03 -21.07 -9.055 -3.128 -9.055 -23.05 -15.15 11.85 1.976 15.97 17.94 23.87 19.92 31.94 31.94
0.035 -17.12 -21.07 -15.15 -17.12 -15.15 -25.02 -31.12 -15.15 9.878 0 11.85 11.85 15.97 13.99 19.92 21.9
0.04 -21.07 -11.03 -3.128 -17.12 -13.01 -25.02 -21.07 -5.104 7.902 7.902 13.99 7.902 7.902 3.951 9.878 9.878
0.045 -3.128 9.878 7.902 -5.104 0.9878 -5.104 -1.152 3.951 9.878 19.92 19.92 9.878 5.927 0 9.878 3.951
0.05 16.96 37.87 19.92 9.878 17.94 19.92 21.9 17.94 15.97 31.94 31.94 19.92 11.85 3.951 15.97 11.85
0.055 34.9 54 23.87 19.92 33.91 45.93 45.93 27.99 27.99 37.87 39.84 35.89 27.99 15.97 21.9 25.85
0.06 34.9 49.88 17.94 15.97 41.98 59.93 57.95 35.89 39.84 31.94 39.84 45.93 47.91 29.96 23.87 41.98
0.065 20.91 29.96 9.878 0 35.89 55.97 55.97 37.87 45.93 19.92 29.96 45.93 61.9 35.89 17.94 47.91
0.07 -1.152 3.951 1.976 -9.055 19.92 35.89 39.84 33.91 39.84 1.976 11.85 31.94 61.9 31.94 7.902 41.98
0.075 -17.12 -15.15 0 -9.055 -2.14 3.951 9.878 21.9 25.85 -9.055 -5.104 5.927 43.96 19.92 0 27.99
0.08 -25.02 -29.14 3.951 0 -15.15 -23.05 -17.12 5.927 5.927 -19.1 -23.05 -13.01 13.99 5.927 -1.152 9.878
0.085 -23.05 -31.12 5.927 13.99 -23.05 -47.08 -43.13 -7.079 -9.055 -21.07 -29.14 -29.14 -13.01 -1.152 -1.152 -3.128
0.09 -15.15 -25.02 5.927 17.94 -21.07 -55.15 -55.15 -23.05 -23.05 -17.12 -27.16 -33.09 -37.04 -11.03 0.9878 -17.12
0.095 -11.03 -13.01 3.951 5.927 -11.03 -49.06 -55.15 -31.12 -35.07 -11.03 -19.1 -29.14 -51.04 -19.1 0.9878 -27.16
0.1 -7.079 -1.152 0 -7.079 0.9878 -35.07 -41.16 -29.14 -41.16 -3.128 -9.055 -17.12 -51.04 -29.14 -1.152 -33.09
0.105 -1.152 11.85 0 -17.12 7.902 -13.01 -17.12 -17.12 -37.04 0 -2.14 -7.079 -37.04 -33.09 0.9878 -35.07
0.11 4.939 31.94 3.951 -15.15 15.97 1.976 3.951 0.9878 -25.02 11.85 11.85 1.976 -17.12 -31.12 3.951 -25.02
0.115 16.96 51.86 13.99 -5.104 25.85 21.9 29.96 17.94 -3.128 23.87 23.87 15.97 3.951 -19.1 15.97 -9.055
0.12 22.88 63.88 25.85 3.951 35.89 37.87 51.86 37.87 17.94 33.91 35.89 27.99 27.99 -1.152 27.99 5.927
