    T[sec]  O1  O2  P3  P4  C3  C4  F3  F4 Fp2 Fp1  T5  T6  T3  T4  F7  F8
41 255.1 255.1 255.1 255.1 255.1 255.1 255.1 255.1 255.1 255.1 255.1 255.1 255.1 255.1 255.1 255.1
0 70.88 35.88 69.89 20.93 29.9 -4.111 6.976 -8.097 87.95 20.93 30.89 34.88 97.91 26.91 64.9 -1.121
0.005 88.94 39.99 89.94 13.95 65.9 11.96 43.97 13.95 97.91 35.88 51.95 17.94 105.9 9.966 67.89 -9.094
0.01 98.91 43.97 93.93 13.95 91.93 27.9 74 37.99 83.96 43.97 63.91 9.966 101.9 -1.121 57.93 -15.07
0.015 100.9 43.97 95.92 28.9 92.93 38.99 78.98 37 80.97 49.95 75.99 8.969 95.92 0 45.97 -9.094
0.02 102.9 51.95 99.91 50.95 85.96 48.96 74.99 37 71.88 41.98 54.94 1.993 77.98 4.983 22.92 -7.101
0.025 132.9 83.96 120 85.96 100.9 50.95 81.97 47.96 74 48.96 35.88 17.94 79.98 22.92 27.9 17.94
0.03 136.9 101.9 125.9 110 96.92 56.93 67.89 41.98 71.88 43.97 28.9 43.97 69.89 35.88 23.92 39.99
0.035 104.9 95.92 103.9 106.9 63.91 65.9 37 20.93 47.96 26.91 21.92 32.89 35.88 34.88 -1.121 31.89
0.04 98.91 95.92 95.92 104.9 61.91 57.93 37 24.91 41.98 32.89 37 34.88 45.97 26.91 6.976 35.88
0.045 80.97 71.88 83.96 97.91 67.89 61.91 47.96 35.88 45.97 41.98 53.94 39.99 65.9 35.88 21.92 51.95
0.05 30.89 19.93 45.97 65.9 49.95 69.89 39.99 37.99 29.9 41.98 45.97 23.92 57.93 37.99 11.96 55.93
0.055 -5.107 -15.07 13.95 37.99 39.99 60.92 39.99 45.97 15.95 43.97 33.88 17.94 55.93 31.89 5.979 61.91
0.06 -47.09 -49.08 -17.07 5.979 19.93 45.97 31.89 39.99 5.979 33.88 17.94 19.93 43.97 33.88 -1.121 53.94
0.065 -83.09 -81.1 -59.05 -35 -27.03 18.94 2.99 8.969 -11.09 7.973 2.99 13.95 18.94 31.89 -24.04 32.89
0.07 -73.12 -71.01 -65.03 -39.12 -49.08 -11.09 -6.104 -2.118 -13.08 0.9966 0 13.95 10.96 19.93 -36 16.94
0.075 -41.11 -39.12 -47.09 -27.03 -41.11 -24.04 -7.101 -5.107 -3.114 -3.114 -10.09 17.94 5.979 17.94 -40.11 9.966
0.08 -25.04 -14.08 -37.12 -29.03 -43.1 -31.02 -26.04 -28.03 -1.121 -7.101 -8.097 9.966 -1.121 7.973 -46.09 1.993
0.085 6.976 15.95 -3.114 -13.08 -27.03 -45.1 -27.03 -37.12 13.95 -7.101 1.993 0.9966 15.95 -7.101 -39.12 -7.101
0.09 60.92 63.91 39.99 13.95 11.96 -41.11 0.9966 -23.05 53.94 1.993 23.92 3.986 53.94 -3.114 0.9966 -2.118
0.095 90.94 79.98 69.89 25.91 27.9 -28.03 9.966 -19.06 83.96 15.95 54.94 21.92 74 1.993 40.98 9.966
0.1 100.9 75.99 81.97 37.99 39.99 -8.097 22.92 -6.104 91.93 11.96 60.92 17.94 73 0.9966 50.95 12.96
0.105 104.9 73 79.98 44.97 64.9 15.95 40.98 12.96 81.97 5.979 49.95 16.94 54.94 -2.118 40.98 14.95
0.11 74.99 49.95 65.9 33.88 57.93 25.91 33.88 9.966 65.9 5.979 49.95 21.92 29.9 -5.107 19.93 13.95
0.115 68.89 49.95 63.91 47.96 57.93 30.89 26.91 8.969 53.94 0.9966 52.94 15.95 26.91 -1.121 0.9966 10.96
0.12 102.9 78.98 85.96 78.98 78.98 37 39.99 20.93 57.93 0.9966 43.97 24.91 37 8.969 3.986 18.94
0.125 113 85.96 103.9 89.94 71.88 31.89 34.88 8.969 70.88 0 47.96 41.98 32.89 19.93 8.969 23.92
0.13 104.9 75.99 100.9 84.96 60.92 33.88 21.92 0.9966 66.9 -3.114 43.97 42.98 21.92 20.93 0.9966 20.93
0.135 92.93 69.89 81.97 69.89 61.91 32.89 23.92 7.973 54.94 -7.101 30.89 37.99 9.966 11.96 -1.121 18.94
0.14 54.94 30.89 54.94 41.98 43.97 25.91 16.94 4.983 41.98 3.986 48.96 37.99 -1.121 1.993 -4.111 25.91
0.145 16.94 -1.121 25.91 16.94 30.89 25.91 23.92 10.96 23.92 9.966 67.89 28.9 2.99 4.983 -9.094 34.88
0.15 2.99 -28.03 14.95 0 35.88 22.92 40.98 26.91 10.96 17.94 75.99 12.96 10.96 4.983 -7.101 40.98
0.155 -11.09 -61.04 7.973 -9.094 25.91 5.979 42.98 18.94 8.969 25.91 87.95 11.96 14.95 7.973 1.993 43.97
0.16 -23.05 -72 3.986 -12.08 10.96 1.993 37.99 9.966 1.993 21.92 82.97 20.93 13.95 12.96 0.9966 41.98
