    T[sec]  O1  O2  P3  P4  C3  C4  F3  F4 Fp2 Fp1  T5  T6  T3  T4  F7  F8
41 183.1 183.1 183.1 183.1 183.1 183.1 183.1 183.1 183.1 183.1 183.1 183.1 183.1 183.1 183.1 183.1
0 0.9834 -29.05 -25.03 -49.08 -43 -45.06 -65.08 -61.06 -65.08 -45.06 35.94 -9.029 -11.09 -29.05 -45.06 -39.07
0.005 6.973 -35.04 -31.02 -55.07 -53.01 -51.05 -75.01 -75.01 -71.07 -49.08 31.92 -11.09 -7.063 -29.05 -41.03 -49.08
0.01 12.96 -33.08 -25.03 -55.07 -49.08 -57.04 -69.02 -71.07 -63.03 -39.07 35.94 -11.09 0.9834 -23.06 -27.09 -45.06
0.015 6.973 -31.02 -29.05 -51.05 -37.01 -55.07 -59 -65.08 -55.07 -35.04 33.97 -19.04 -2.056 -27.09 -19.04 -41.03
0.02 -1.073 -39.07 -19.04 -43 -27.09 -53.01 -41.03 -55.07 -39.07 -25.03 15.91 -21.01 5.99 -27.09 -5.006 -29.05
0.025 -1.073 -37.01 -3.04 -31.02 -11.09 -41.03 -13.05 -31.02 -19.04 -5.006 15.91 -11.09 15.91 -15.02 9.923 -11.09
0.03 -15.02 -35.04 -7.063 -23.06 -1.073 -17.08 0.9834 -13.05 -5.006 -3.04 7.957 -11.09 17.97 -1.073 15.91 -1.073
0.035 -25.03 -37.01 -3.04 -9.029 0.9834 -1.073 0 0.9834 -2.056 0.9834 -3.04 -9.029 17.97 13.95 21.99 3.934
0.04 -25.03 -31.02 -1.073 0.9834 0.9834 3.934 -2.056 7.957 5.99 9.923 -5.006 -1.073 5.99 25.93 23.96 13.95
0.045 -41.03 -19.04 -21.01 1.967 -3.04 9.923 0.9834 13.95 11.98 17.97 -11.09 1.967 -5.006 23.96 15.91 15.91
0.05 -45.06 -9.029 -21.01 17.97 -1.073 11.98 3.934 23.96 21.99 25.93 -27.09 15.91 -7.063 27.98 11.98 23.96
0.055 -33.08 0 -11.09 23.96 0 23.96 15.91 37.99 29.95 37.99 -27.09 21.99 -5.006 27.98 15.91 31.92
0.06 -33.08 5.99 -15.02 15.91 1.967 31.92 23.96 41.93 33.97 35.94 -23.06 7.957 -2.056 27.98 17.97 33.97
0.065 -21.01 -2.056 -5.006 13.95 1.967 27.98 31.92 41.93 35.94 19.94 -15.02 -3.04 17.97 27.98 27.98 35.94
0.07 -7.063 -11.09 -1.073 0 -2.056 19.94 23.96 27.98 29.95 3.934 7.957 -7.063 25.93 9.923 35.94 21.99
0.075 -1.073 -18.06 -12.07 -12.07 -8.046 12.96 6.973 9.923 19.94 -8.046 22.98 0.9834 27 -1.073 27 0.9834
0.08 14.93 -9.029 -9.029 -9.029 -5.006 5.99 0 1.967 6.973 -24.05 22.98 8.94 18.95 3.934 12.96 -1.073
0.085 30.93 1.967 0 -8.046 -6.079 1.967 -14.04 -14.04 -11.09 -33.08 16.99 11.98 4.917 2.95 -2.056 0
0.09 30.93 1.967 -7.063 -17.08 -13.05 -14.04 -30.04 -30.04 -22.08 -33.08 14.93 12.96 -5.006 5.99 -23.06 0
0.095 36.92 0.9834 1.967 -6.079 -16 -30.04 -32 -32 -19.04 -31.02 14.93 13.95 -7.063 11 -33.08 6.973
0.1 40.94 2.95 2.95 0 -12.07 -27.09 -27.09 -23.06 -8.046 -18.06 11.98 12.96 -7.063 2.95 -28.07 6.973
0.105 40.94 0.9834 4.917 1.967 -8.046 -14.04 -22.08 -7.063 0 -2.056 4.917 13.95 -14.04 8.94 -24.05 8.94
0.11 44.97 11.98 16.99 6.973 2.95 0.9834 -7.063 2.95 7.957 5.99 -3.04 11.98 -17.08 18.95 -25.03 14.93
0.115 44.97 8.94 25.93 17.97 14.93 11 0.9834 14.93 11.98 16.99 -6.079 1.967 -13.05 16.99 -28.07 21.99
0.12 44.97 9.923 27 27 20.92 13.95 11 27 22.98 19.94 1.967 0 -8.046 23.96 -22.08 30.93
0.125 48.99 27 33.97 43.98 30.93 24.94 24.94 38.98 35.94 27 8.94 12.96 0.9834 28.97 -8.046 31.92
0.13 44.97 27.98 28.97 42.91 32.99 43.98 31.92 44.97 33.97 25.93 7.957 -2.056 7.957 16.99 0.9834 30.93
0.135 24.94 14.93 14.93 32.99 22.98 42.91 28.97 43.98 27.98 14.93 11 -9.029 11 12.96 0.9834 28.97
0.14 0.9834 0.9834 1.967 12.96 6.973 33.97 25.93 29.95 14.93 11 9.923 -10.01 11.98 4.917 -1.073 18.95
0.145 -29.05 -22.08 -20.03 -8.046 -8.046 18.95 14.93 12.96 7.957 9.923 -4.023 -23.06 13.95 -10.01 -2.056 8.94
0.15 -45.06 -37.01 -35.04 -19.04 -17.08 -1.073 4.917 11 12.96 7.957 -18.06 -18.06 7.957 -13.05 1.967 5.99
0.155 -51.05 -34.06 -36.03 -18.06 -20.03 -6.079 2.95 11 13.95 6.973 -26.02 -5.006 0.9834 -1.073 0.9834 8.94
0.16 -53.01 -37.01 -33.08 -17.08 -17.08 -7.063 2.95 6.973 8.94 0.9834 -28.07 -10.01 6.973 -2.056 4.917 9.923
0.165 -45.06 -36.03 -22.08 -8.046 -8.046 -6.079 -1.073 7.957 3.934 -2.056 -22.08 -9.029 6.973 8.94 2.95 18.95
0.17 -27.09 -25.03 -7.063 -1.073 -3.04 -3.04 1.967 7.957 1.967 -1.073 -9.029 1.967 -2.056 23.96 -2.056 25.93
0.175 -15.02 -19.04 -1.073 -2.056 -2.056 0.9834 9.923 7.957 3.934 0.9834 -1.073 9.923 3.934 13.95 1.967 19.94
