    T[sec] Fp2 Fp1  F3  F4  C3  C4  P3  P4  O1  O2  F7  F8  T3  T4  T5  T6
41 186.1 186.1 186.1 186.1 186.1 186.1 186.1 186.1 186.1 186.1 186.1 186.1 186.1 186.1 186.1 186.1
0 -1.09 -2.09 -3.089 21.99 -7.087 0 -13.08 15.99 -3.089 3.998 0 1.999 3.998 -2.09 -5.088 5.997
0.005 14.99 9.995 7.996 27.99 -2.09 0 -19.08 5.997 -17.08 0 11.99 -2.09 9.995 -5.088 -7.087 0.9995
0.01 24.99 13.99 17.99 27.99 9.995 0 -25.08 0.9995 -27.08 0.9995 19.99 -2.09 9.995 -9.086 -9.086 -3.089
0.015 26.99 13.99 19.99 27.99 19.99 1.999 -25.08 -3.089 -23.08 -1.09 19.99 0 5.997 -5.088 -9.086 -1.09
0.02 22.99 11.99 13.99 25.99 25.99 5.997 -17.08 0.9995 -13.08 0.9995 11.99 1.999 3.998 -2.09 -5.088 0
0.025 16.99 9.995 9.995 27.99 29.99 11.99 -5.088 5.997 -1.09 -2.09 7.996 3.998 3.998 3.998 -1.09 3.998
0.03 14.99 11.99 11.99 31.98 27.99 13.99 -2.09 9.995 0 0 9.995 3.998 9.995 5.997 -2.09 1.999
0.035 16.99 17.99 23.99 35.98 25.99 11.99 -2.09 5.997 -2.09 -2.09 19.99 0 15.99 1.999 1.999 0.9995
0.04 20.99 19.99 33.98 35.98 21.99 5.997 -1.09 -3.089 -1.09 0.9995 29.99 0.9995 19.99 -1.09 5.997 -3.089
0.045 18.99 15.99 37.98 29.99 15.99 0.9995 -7.087 -19.08 -1.09 -1.09 27.99 -1.09 17.99 -7.087 7.996 -7.087
0.05 8.996 5.997 23.99 19.99 10.99 -9.086 -9.086 -27.08 0 0.9995 13.99 -3.089 9.995 -7.087 7.996 -7.087
0.055 -7.087 -3.089 0 7.996 0.9995 -15.08 -3.089 -27.08 7.996 -2.09 -5.088 -3.089 -2.09 -3.089 5.997 -5.088
0.06 -25.08 -13.08 -21.08 0 -7.087 -15.08 -2.09 -15.08 9.995 3.998 -25.08 -3.089 -9.086 -2.09 0 -3.089
0.065 -33.07 -17.08 -35.07 0.9995 -12.09 -9.086 0 -1.09 9.995 9.995 -28.08 -3.089 -19.08 5.997 -1.09 -1.09
0.07 -29.08 -15.08 -35.07 0 -12.09 0.9995 1.999 11.99 7.996 17.99 -14.08 0.9995 -19.08 9.995 -3.089 0
0.075 -19.08 -7.087 -21.08 5.997 -9.086 3.998 3.998 25.99 9.995 27.99 0 0 -15.08 11.99 -1.09 7.996
0.08 -5.088 -1.09 -5.088 18.99 -3.089 9.995 5.997 38.98 17.99 33.98 12.99 4.998 -5.088 9.995 0 16.99
0.085 -1.09 0 0 26.99 0.9995 15.99 5.997 42.98 19.99 35.98 10.99 6.997 -2.09 7.996 4.998 18.99
0.09 2.999 7.996 1.999 33.98 0.9995 17.99 1.999 41.98 11.99 29.99 -2.09 7.996 0 7.996 1.999 13.99
0.095 2.999 9.995 2.999 36.98 -1.09 18.99 -3.089 32.98 -2.09 16.99 -5.088 8.996 -1.09 8.996 -2.09 10.99
0.1 8.996 15.99 6.997 36.98 3.998 16.99 -11.09 20.99 -17.08 2.999 -7.087 6.997 -7.087 8.996 -8.087 8.996
0.105 12.99 19.99 15.99 35.98 11.99 11.99 -13.08 9.995 -23.08 0.9995 -2.09 3.998 -9.086 11.99 -9.086 5.997
0.11 20.99 22.99 28.99 38.98 27.99 15.99 -2.09 4.998 -13.08 1.999 11.99 4.998 -2.09 15.99 0.9995 9.995
0.115 24.99 23.99 36.98 40.98 40.98 16.99 8.996 4.998 0.9995 0.9995 26.99 6.997 5.997 13.99 9.995 8.996
0.12 30.98 23.99 40.98 44.98 44.98 23.99 20.99 3.998 16.99 1.999 33.98 6.997 15.99 7.996 18.99 1.999
0.125 34.98 25.99 40.98 46.98 38.98 24.99 14.99 -1.09 18.99 -8.087 40.98 4.998 19.99 0 13.99 -8.087
0.13 44.98 28.99 38.98 46.98 25.99 19.99 0.9995 -8.087 3.998 -26.08 47.98 2.999 12.99 -7.087 3.998 -25.08
0.135 48.98 35.98 35.98 39.98 9.995 5.997 -13.08 -27.08 -5.088 -41.07 51.97 0.9995 5.997 -17.08 -1.09 -35.07
0.14 52.97 37.98 36.98 28.99 7.996 0 -19.08 -34.07 -13.08 -40.07 53.97 -4.089 5.997 -18.08 0 -34.07
0.145 46.98 37.98 32.98 18.99 12.99 -10.09 -7.087 -30.08 -3.089 -28.08 47.98 -6.088 9.995 -12.09 6.997 -28.08
0.15 32.98 29.99 25.99 7.996 27.99 -11.09 7.996 -19.08 7.996 -7.087 33.98 -7.087 21.99 -3.089 23.99 -17.08
0.155 14.99 15.99 13.99 2.999 37.98 -7.087 25.99 -4.089 23.99 9.995 20.99 0 27.99 5.997 32.98 -4.089
0.16 0.9995 1.999 3.998 0 35.98 -1.09 27.99 0.9995 29.99 21.99 10.99 0 19.99 11.99 27.99 0.9995
0.165 -15.08 -3.089 -1.09 -9.086 19.99 -2.09 17.99 3.998 21.99 23.99 3.998 0.9995 5.997 13.99 15.99 5.997
0.17 -21.08 -7.087 -7.087 -15.08 4.998 -1.09 1.999 3.998 7.996 23.99 6.997 -3.089 -7.087 9.995 -2.09 9.995
0.175 -23.08 -7.087 -9.086 -17.08 -4.089 -5.088 -5.088 3.998 -2.09 21.99 8.996 -5.088 -17.08 3.998 -3.089 9.995
0.18 -17.08 0.9995 -9.086 -17.08 -7.087 -5.088 -5.088 7.996 0.9995 21.99 11.99 -5.088 -17.08 1.999 0.9995 7.996
0.185 -3.089 3.998 -3.089 -11.09 1.999 0.9995 0 15.99 1.999 21.99 17.99 0.9995 -5.088 5.997 3.998 3.998
0.19 8.996 15.99 1.999 -1.09 8.996 7.996 11.99 23.99 11.99 17.99 25.99 3.998 1.999 13.99 13.99 0
0.195 22.99 25.99 13.99 7.996 15.99 17.99 19.99 25.99 19.99 9.995 31.98 11.99 9.995 21.99 17.99 -2.09
0.2 34.98 33.98 27.99 21.99 19.99 23.99 23.99 21.99 23.99 -1.09 35.98 15.99 13.99 25.99 19.99 -2.09
0.205 38.98 39.98 37.98 31.98 17.99 25.99 19.99 9.995 27.99 -19.08 39.98 15.99 13.99 25.99 19.99 0
0.21 36.98 39.98 41.98 35.98 17.99 23.99 15.99 0.9995 25.99 -37.07 37.98 11.99 11.99 21.99 19.99 3.998
0.215 30.98 37.98 33.98 29.99 17.99 17.99 9.995 -15.08 19.99 -57.06 31.98 3.998 11.99 13.99 19.99 1.999
0.22 18.99 27.99 15.99 13.99 9.995 5.997 0 -31.08 7.996 -75.05 19.99 0.9995 7.996 5.997 15.99 -2.09
0.225 6.997 15.99 -3.089 -5.088 -1.09 -7.087 -3.089 -47.07 0.9995 -89.05 3.998 -9.086 0 0.9995 5.997 -5.088
0.23 -1.09 1.999 -25.08 -25.08 -19.08 -29.08 -11.09 -55.06 -9.086 -93.05 -1.09 -17.08 -1.09 -5.088 0.9995 -11.09
0.235 -5.088 -5.088 -35.07 -35.07 -33.07 -43.07 -13.08 -55.06 -11.09 -87.05 -3.089 -19.08 -5.088 -5.088 -5.088 -9.086
0.24 -3.089 -11.09 -31.08 -29.08 -33.07 -45.07 -9.086 -43.07 -7.087 -71.06 -2.09 -13.08 -5.088 0.9995 -5.088 -3.089
0.245 0.9995 -7.087 -15.08 -13.08 -19.08 -31.08 -3.089 -19.08 0.9995 -53.06 5.997 -1.09 0.9995 7.996 -3.089 1.999
0.25 10.99 -2.09 -2.09 1.999 -1.09 -7.087 0 0 1.999 -39.07 9.995 7.996 0 17.99 -5.088 5.997
0.255 16.99 7.996 11.99 15.99 9.995 11.99 3.998 21.99 3.998 -35.07 5.997 17.99 1.999 25.99 -7.087 5.997
0.26 18.99 15.99 19.99 21.99 19.99 29.99 7.996 33.98 7.996 -35.07 0 23.99 1.999 31.98 -11.09 1.999
0.265 18.99 19.99 23.99 23.99 25.99 39.98 11.99 39.98 13.99 -35.07 -2.09 25.99 3.998 35.98 -5.088 0
0.27 20.99 21.99 25.99 27.99 31.98 47.98 19.99 43.98 21.99 -33.07 1.999 25.99 9.995 37.98 1.999 1.999
0.275 24.99 21.99 25.99 31.98 37.98 53.97 27.99 47.98 29.99 -31.08 9.995 23.99 17.99 37.98 15.99 5.997
0.28 28.99 17.99 21.99 37.98 39.98 57.97 31.98 51.97 31.98 -31.08 17.99 17.99 21.99 35.98 21.99 7.996
0.285 26.99 9.995 11.99 35.98 33.98 53.97 29.99 47.98 28.99 -33.07 19.99 9.995 19.99 25.99 17.99 5.997
0.29 18.99 0 0 27.99 23.99 43.98 23.99 39.98 19.99 -37.07 15.99 1.999 13.99 15.99 5.997 1.999
0.295 8.996 -5.088 -1.09 13.99 13.99 27.99 16.99 27.99 16.99 -35.07 13.99 0.9995 7.996 7.996 0.9995 0.9995
0.3 0.9995 -11.09 -5.088 1.999 9.995 15.99 14.99 17.99 16.99 -29.08 11.99 0.9995 7.996 3.998 -1.09 -3.089
0.305 -1.09 -11.09 -1.09 -2.09 13.99 13.99 15.99 13.99 21.99 -21.08 11.99 -2.09 11.99 3.998 0 -1.09
0.31 2.999 -7.087 -2.09 1.999 21.99 19.99 16.99 13.99 22.99 -17.08 11.99 0 13.99 7.996 7.996 -2.09
0.315 8.996 -3.089 0 5.997 23.99 27.99 8.996 13.99 18.99 -19.08 6.997 1.999 9.995 11.99 9.995 0
0.32 12.99 0 0 9.995 17.99 29.99 -1.09 7.996 5.997 -27.08 -2.09 3.998 1.999 13.99 1.999 1.999
0.325 12.99 1.999 -3.089 3.998 1.999 22.99 -20.08 -1.09 1.999 -37.07 -6.088 3.998 -3.089 11.99 -7.087 0
0.33 6.997 1.999 -13.08 -3.089 -11.09 4.998 -31.08 -15.08 -7.087 -42.07 -20.08 3.998 -9.086 7.996 -21.08 -2.09
0.335 0.9995 0 -23.08 -15.08 -21.08 -13.08 -37.07 -25.08 -7.087 -41.07 -29.08 3.998 -15.08 3.998 -27.08 -1.09
0.34 -9.086 -3.089 -28.08 -25.08 -21.08 -30.08 -28.08 -31.08 0.9995 -34.07 -34.07 1.999 -13.08 0.9995 -26.08 -2.09
0.345 -19.08 -11.09 -34.07 -23.08 -11.09 -38.07 -10.09 -26.08 8.996 -26.08 -29.08 0 -8.087 0.9995 -18.08 -2.09
0.35 -25.08 -13.08 -37.07 -15.08 -2.09 -33.07 5.997 -17.08 21.99 -23.08 -25.08 0 -5.088 1.999 -7.087 -1.09
0.355 -23.08 -8.087 -32.08 -1.09 5.997 -16.08 24.99 -4.089 33.98 -15.08 -15.08 2.999 0 3.998 -1.09 0
0.36 -15.08 0.9995 -30.08 4.998 8.996 1.999 31.98 0 34.98 -9.086 -9.086 3.998 -1.09 4.998 2.999 2.999
0.365 -11.09 0 -29.08 4.998 2.999 5.997 32.98 8.996 28.99 0 -10.09 -2.09 -4.089 5.997 -1.09 7.996
0.37 -15.08 -3.089 -32.08 1.999 -4.089 6.997 21.99 11.99 16.99 0 -11.09 0.9995 -11.09 6.997 -4.089 8.996
0.375 -25.08 -20.08 -36.07 -9.086 -15.08 -1.09 6.997 14.99 3.998 3.998 -13.08 -2.09 -18.08 9.995 -14.08 9.995
0.38 -35.07 -37.07 -37.07 -19.08 -19.08 -1.09 0.9995 15.99 -2.09 7.996 -13.08 -2.09 -23.08 9.995 -19.08 9.995
0.385 -37.07 -47.07 -32.08 -21.08 -13.08 -1.09 -2.09 20.99 0.9995 8.996 -5.088 7.996 -22.08 16.99 -16.08 10.99
0.39 -27.08 -41.07 -20.08 -11.09 -1.09 10.99 1.999 21.99 3.998 4.998 -2.09 17.99 -17.08 20.99 -10.09 10.99
0.395 -9.086 -25.08 -3.089 -2.09 11.99 23.99 5.997 21.99 5.997 0.9995 0 25.99 -9.086 25.99 -3.089 11.99
0.4 6.997 -1.09 7.996 17.99 25.99 32.98 19.99 19.99 5.997 -6.088 10.99 31.98 -1.09 27.99 -2.09 15.99
0.405 20.99 7.996 21.99 31.98 33.98 34.98 28.99 17.99 7.996 -11.09 22.99 35.98 1.999 33.98 5.997 21.99
0.41 24.99 11.99 23.99 35.98 31.98 31.98 31.98 17.99 11.99 -5.088 33.98 37.98 7.996 37.98 11.99 27.99
0.415 12.99 3.998 17.99 33.98 27.99 27.99 34.98 19.99 22.99 1.999 36.98 35.98 9.995 39.98 17.99 27.99
0.42 -1.09 -3.089 3.998 23.99 23.99 23.99 34.98 23.99 32.98 15.99 27.99 31.98 7.996 35.98 21.99 23.99
0.425 -9.086 -17.08 -7.087 11.99 17.99 19.99 27.99 25.99 33.98 21.99 11.99 19.99 3.998 25.99 23.99 15.99
0.43 -17.08 -25.08 -21.08 0 9.995 7.996 20.99 19.99 28.99 15.99 -2.09 3.998 -2.09 9.995 19.99 5.997
0.435 -17.08 -27.08 -25.08 -5.088 1.999 -5.088 10.99 3.998 18.99 1.999 -3.089 -11.09 0.9995 -3.089 15.99 -2.09
0.44 -13.08 -25.08 -27.08 -11.09 -1.09 -29.08 1.999 -13.08 5.997 -7.087 -1.09 -23.08 -2.09 -15.08 11.99 -2.09
0.445 -7.087 -23.08 -23.08 -13.08 -9.086 -47.07 0 -29.08 4.998 -17.08 3.998 -27.08 1.999 -19.08 13.99 0
0.45 -1.09 -21.08 -19.08 -13.08 -11.09 -53.06 7.996 -31.08 11.99 -15.08 13.99 -21.08 9.995 -11.09 19.99 3.998
0.455 -1.09 -19.08 -17.08 -11.09 -9.086 -43.07 19.99 -19.08 27.99 -3.089 21.99 -7.087 13.99 0.9995 25.99 7.996
0.46 -3.089 -15.08 -17.08 -9.086 -5.088 -23.08 29.99 -2.09 41.98 9.995 21.99 0 17.99 7.996 27.99 9.995
0.465 -7.087 -13.08 -17.08 -7.087 -1.09 -2.09 37.98 23.99 47.98 25.99 19.99 7.996 15.99 17.99 27.99 9.995
0.47 -7.087 -9.086 -17.08 -3.089 0 21.99 39.98 43.98 45.98 33.98 11.99 11.99 9.995 23.99 23.99 9.995
0.475 -5.088 -5.088 -11.09 0 3.998 37.98 37.98 55.97 39.98 33.98 5.997 17.99 3.998 25.99 19.99 11.99
0.48 0.9995 0.9995 -3.089 9.995 9.995 43.98 37.98 59.97 35.98 25.99 3.998 23.99 1.999 27.99 21.99 13.99
0.485 10.99 1.999 1.999 19.99 17.99 45.98 39.98 59.97 35.98 15.99 7.996 27.99 3.998 29.99 29.99 11.99
0.49 26.99 11.99 13.99 27.99 25.99 43.98 43.98 55.97 37.98 9.995 19.99 31.98 13.99 29.99 39.98 9.995
0.495 42.98 17.99 21.99 29.99 27.99 37.98 45.98 49.98 35.98 7.996 35.98 27.99 25.99 25.99 45.98 7.996
0.5 50.98 23.99 25.99 29.99 25.99 31.98 41.98 41.98 29.99 11.99 43.98 19.99 33.98 19.99 43.98 5.997
0.505 50.98 23.99 25.99 27.99 19.99 23.99 33.98 33.98 15.99 13.99 43.98 9.995 37.98 13.99 35.98 7.996
0.51 42.98 19.99 21.99 25.99 13.99 19.99 25.99 27.99 1.999 13.99 33.98 5.997 35.98 11.99 23.99 9.995
0.515 32.98 15.99 15.99 25.99 8.996 15.99 17.99 23.99 -7.087 7.996 21.99 5.997 29.99 13.99 9.995 13.99
0.52 24.99 13.99 9.995 27.99 3.998 13.99 11.99 21.99 -15.08 -2.09 11.99 7.996 19.99 19.99 0 11.99
0.525 22.99 11.99 3.998 27.99 0.9995 13.99 5.997 19.99 -17.08 -3.089 9.995 11.99 11.99 23.99 -3.089 7.996
0.53 20.99 7.996 -2.09 23.99 1.999 13.99 0 15.99 -13.08 -5.088 7.996 11.99 7.996 23.99 -7.087 5.997
0.535 14.99 0 -7.087 15.99 -3.089 13.99 -2.09 11.99 -5.088 -1.09 0 9.995 5.997 17.99 -7.087 5.997
0.54 2.999 -5.088 -14.08 7.996 -6.088 9.995 2.999 5.997 0 1.999 -9.086 3.998 5.997 11.99 -3.089 7.996
0.545 -7.087 -17.08 -22.08 -2.09 -7.087 5.997 8.996 1.999 7.996 9.995 -25.08 -2.09 5.997 5.997 -2.09 9.995
0.55 -21.08 -25.08 -27.08 -7.087 -7.087 -2.09 13.99 -2.09 5.997 9.995 -35.07 -1.09 3.998 1.999 -2.09 7.996
0.555 -19.08 -27.08 -20.08 -15.08 -1.09 -5.088 12.99 -1.09 -1.09 1.999 -31.08 -5.088 0 -2.09 -3.089 0
0.56 -5.088 -19.08 -4.089 -17.08 0 -13.08 8.996 -5.088 -14.08 -5.088 -12.09 -7.087 2.999 -1.09 -11.09 -7.087
0.565 14.99 -5.088 7.996 -11.09 5.997 -17.08 5.997 -5.088 -17.08 -15.08 11.99 -5.088 15.99 -5.088 -9.086 -17.08
0.57 42.98 3.998 25.99 -1.09 17.99 -10.09 16.99 -2.09 1.999 -9.086 46.98 -3.089 42.98 -5.088 5.997 -17.08
0.575 58.97 9.995 37.98 3.998 27.99 0.9995 39.98 11.99 36.98 7.996 72.96 -2.09 76.96 0.9995 37.98 -7.087
0.58 60.97 7.996 37.98 15.99 37.98 23.99 65.97 33.98 77.96 37.98 83.96 5.997 105.9 3.998 75.96 0
0.585 54.97 0 40.98 20.99 43.98 46.98 86.96 53.97 106.9 63.97 84.96 10.99 118.9 15.99 95.95 16.99
0.59 46.98 -3.089 37.98 20.99 45.98 59.97 92.95 59.97 111.9 74.96 71.96 10.99 113.9 21.99 94.95 22.99
0.595 34.98 -9.086 29.99 15.99 39.98 55.97 81.96 57.97 87.96 65.97 49.98 7.996 89.96 23.99 71.96 21.99
0.6 26.99 -13.08 24.99 7.996 30.98 42.98 64.97 44.98 52.97 42.98 32.98 5.997 62.97 20.99 38.98 17.99
0.605 18.99 -15.08 12.99 0.9995 17.99 19.99 41.98 25.99 18.99 17.99 20.99 1.999 38.98 11.99 11.99 11.99
0.61 10.99 -19.08 -2.09 -12.09 8.996 1.999 20.99 9.995 -2.09 -1.09 15.99 0 23.99 1.999 0 2.999
0.615 2.999 -27.08 -10.09 -17.08 -2.09 -7.087 1.999 0 -8.087 -9.086 16.99 -3.089 14.99 -1.09 -7.087 0
0.62 -1.09 -33.07 -20.08 -19.08 -4.089 -6.088 -10.09 0 -12.09 -10.09 16.99 -5.088 6.997 -6.088 -10.09 1.999
0.625 -9.086 -31.08 -25.08 -17.08 -11.09 -5.088 -23.08 -5.088 -13.08 -9.086 15.99 -7.087 1.999 -9.086 -9.086 -2.09
0.63 -5.088 -25.08 -19.08 -10.09 -17.08 0.9995 -28.08 -9.086 -13.08 -10.09 17.99 -6.088 1.999 -11.09 -8.087 0
0.635 0.9995 -15.08 -14.08 -8.087 -23.08 1.999 -28.08 -15.08 -20.08 -11.09 16.99 -6.088 0 -13.08 -11.09 -6.088
0.64 6.997 -7.087 -3.089 -7.087 -23.08 -3.089 -29.08 -23.08 -23.08 -15.08 21.99 -9.086 -1.09 -15.08 -13.08 -13.08
0.645 22.99 0.9995 3.998 -7.087 -19.08 -8.087 -27.08 -29.08 -22.08 -17.08 36.98 -9.086 1.999 -13.08 -13.08 -17.08
0.65 36.98 1.999 15.99 -5.088 -9.086 -12.09 -26.08 -31.08 -12.09 -11.09 52.97 -7.087 -1.09 -9.086 -11.09 -17.08
0.655 44.98 7.996 21.99 0.9995 0.9995 -13.08 -25.08 -29.08 -2.09 -5.088 63.97 -3.089 5.997 0.9995 -1.09 -9.086
0.66 46.98 13.99 26.99 3.998 11.99 -7.087 -14.08 -21.08 16.99 0 66.97 0.9995 16.99 3.998 5.997 -1.09
0.665 42.98 17.99 22.99 9.995 25.99 0 0 -9.086 29.99 5.997 57.97 -2.09 21.99 7.996 21.99 1.999
0.67 32.98 17.99 9.995 9.995 31.98 11.99 5.997 0.9995 35.98 7.996 37.98 0.9995 23.99 5.997 29.99 3.998
0.675 18.99 15.99 1.999 1.999 33.98 19.99 10.99 3.998 27.99 5.997 17.99 -1.09 17.99 1.999 27.99 -2.09
0.68 8.996 13.99 -12.09 -1.09 24.99 21.99 4.998 5.997 15.99 1.999 9.995 -1.09 7.996 -2.09 21.99 -5.088
0.685 6.997 17.99 -17.08 -7.087 11.99 17.99 -1.09 1.999 5.997 0 13.99 -1.09 0 -2.09 15.99 -13.08
0.69 8.996 23.99 -15.08 -7.087 6.997 13.99 -9.086 -2.09 1.999 0.9995 31.98 -2.09 -2.09 1.999 13.99 -13.08
0.695 12.99 27.99 -7.087 -3.089 8.996 7.996 -9.086 -3.089 1.999 -3.089 47.98 0 1.999 5.997 19.99 -3.089
0.7 16.99 31.98 0.9995 0.9995 15.99 1.999 -3.089 -9.086 5.997 -5.088 53.97 -2.09 9.995 7.996 25.99 5.997
0.705 16.99 31.98 1.999 0 24.99 0 1.999 -11.09 7.996 -7.087 47.98 -1.09 15.99 7.996 25.99 15.99
0.71 14.99 31.98 5.997 -2.09 29.99 -2.09 5.997 -13.08 7.996 -5.088 31.98 -7.087 15.99 7.996 19.99 21.99
0.715 8.996 31.98 5.997 -1.09 23.99 -2.09 0 -13.08 1.999 0.9995 11.99 -9.086 7.996 7.996 3.998 17.99
0.72 0.9995 29.99 0 -9.086 5.997 -2.09 -9.086 -15.08 -5.088 1.999 0.9995 -7.087 -3.089 9.995 -11.09 9.995
0.725 -5.088 23.99 -7.087 -17.08 -11.09 -2.09 -29.08 -17.08 -17.08 3.998 -9.086 -3.089 -23.08 9.995 -31.08 1.999
0.73 -13.08 15.99 -17.08 -23.08 -29.08 0.9995 -45.07 -19.08 -25.08 5.997 -9.086 -1.09 -37.07 7.996 -45.07 -2.09
0.735 -15.08 7.996 -25.08 -25.08 -37.07 -1.09 -49.07 -17.08 -23.08 5.997 -5.088 -1.09 -41.07 1.999 -47.07 0
0.74 -13.08 3.998 -23.08 -21.08 -27.08 -3.089 -37.07 -11.09 -9.086 11.99 1.999 -1.09 -29.08 -2.09 -35.07 3.998
0.745 -7.087 3.998 -13.08 -11.09 -5.088 -1.09 -13.08 0.9995 7.996 21.99 15.99 -1.09 -9.086 -2.09 -13.08 7.996
0.75 0.9995 5.997 0.9995 -3.089 13.99 1.999 7.996 7.996 29.99 31.98 27.99 0.9995 9.995 0 7.996 9.995
0.755 -1.09 5.997 7.996 0 33.98 13.99 27.99 17.99 39.98 35.98 35.98 -2.09 25.99 3.998 27.99 7.996
0.76 -1.09 5.997 11.99 5.997 39.98 19.99 35.98 17.99 35.98 29.99 33.98 0 31.98 5.997 31.98 3.998
0.765 -9.086 3.998 11.99 9.995 35.98 21.99 27.99 9.995 19.99 11.99 25.99 1.999 27.99 3.998 23.99 0
0.77 -15.08 5.997 11.99 17.99 25.99 15.99 13.99 0 3.998 0.9995 15.99 5.997 15.99 1.999 7.996 -2.09
0.775 -17.08 11.99 11.99 27.99 11.99 11.99 0 -3.089 -3.089 -11.09 5.997 11.99 3.998 3.998 -3.089 0.9995
